row_full,col_full,latitude,longitude,rowf_colf,km2,lon_station,lat_station,voltage,objectid,km_urban_fromstation,lat_urban_fromstation,lon_urban_fromstation,cost_trunk_upfront,km_site_spur,cost_spur_upfront,cost_trans_upfront,cost_trans_annual
998,1936,41.552765,-84.827301,998_1936,1.1699381112031024,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,65.02825199169529,166.5619861848373,184.03890340416788,11.647126171664008
1000,1936,41.589565,-84.820374,1000_1936,3.635711426759572,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,64.45895222713531,165.1037938358906,182.58071105522117,11.551800864730636
1002,1936,41.626373,-84.813477,1002_1936,6.105954599710566,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,64.15396491662685,164.32260580386492,181.7995230231955,11.500732849609506
1004,1936,41.663177000000005,-84.806519,1004_1936,8.594772396469994,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,64.1094624508363,164.2086181313508,181.68553535068136,11.493281219598638
1006,1936,41.699985999999996,-84.799591,1006_1936,4.741094165720367,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,64.33364899558266,164.7828447947653,182.25976201409588,11.530819705504735
984,1938,41.290024,-84.826477,984_1938,1.1054368134347508,-84.5607217327371,40.9294122721993,345,19409,32.6720284035699,40.794252,-84.216516,53.24192358562562,45.8489682240696,117.43657530425088,170.6784988898765,9.988087695194714
986,1938,41.326813,-84.81958,986_1938,3.630037616126892,-84.5607217327371,40.9294122721993,345,19409,32.6720284035699,40.794252,-84.216516,53.24192358562562,49.196389580936035,126.01058940920362,179.25251299482923,10.548590242609706
988,1938,41.363597999999996,-84.81268299999999,988_1938,6.140561449898126,-84.5607217327371,40.9294122721993,345,19409,32.6720284035699,40.794252,-84.216516,53.24192358562562,52.65441569690891,134.86790419953564,188.10982778516126,11.127612791729359
990,1938,41.400394,-84.805786,990_1938,8.618806134641668,-84.5607217327371,40.9294122721993,345,19409,32.6720284035699,40.794252,-84.216516,53.24192358562562,56.20408291463133,143.95994656528399,197.2018701509096,11.721980009327384
992,1938,41.437195,-84.798889,992_1938,11.08981865630241,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,64.3394282446553,164.79764764083163,182.2745648601622,11.531787400778803
994,1938,41.473991,-84.791962,994_1938,13.57033773301467,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,62.95805890583807,161.25943749860582,178.7363547179364,11.300486661856349
996,1938,41.510784,-84.785034,996_1938,16.030424173847553,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,61.82245985349575,158.35073815832658,175.82765537765715,11.110338457067524
998,1938,41.547588,-84.77810699999999,998_1938,17.102875154332693,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,60.94640669765522,156.10683417550186,173.58375139483243,10.963649417006184
1000,1938,41.584381,-84.771179,1000_1938,17.101429336926945,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,60.34121447653001,154.55670764915604,172.0336248684866,10.862314166539253
1002,1938,41.621189,-84.76422099999999,1002_1938,17.10968475964675,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,60.01269662175,153.71524897983292,171.1921661991635,10.80730612457352
1004,1938,41.657993,-84.757263,1004_1938,17.10274669817498,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,59.967934274757646,153.6005956531174,171.07751287244798,10.799810979253369
1006,1938,41.694786,-84.75030500000001,1006_1938,9.974611006160648,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,60.207286386109104,154.21366707735507,171.69058429668564,10.839888834366068
970,1940,41.02737,-84.825653,970_1940,0.6918305199238142,-84.7391862959365,40.9285194303025,345,41508,46.521105295515,40.794252,-84.216516,75.81020384372641,13.170770128285039,33.73533141304864,109.54553525677505,5.495938203021412
972,1940,41.064147999999996,-84.818787,972_1940,3.187163083945572,-84.7391862959365,40.9285194303025,345,41508,46.521105295515,40.794252,-84.216516,75.81020384372641,16.48404379945559,42.22188035972143,118.03208420344785,6.0507229567139
974,1940,41.100929,-84.81195100000001,974_1940,5.720897030954832,-84.7391862959365,40.9285194303025,345,41508,46.521105295515,40.794252,-84.216516,75.81020384372641,20.10132209743909,51.48710031323309,127.29730415695951,6.656411181941298
976,1940,41.137710999999996,-84.805054,976_1940,8.273351149642952,-84.7391862959365,40.9285194303025,345,41508,46.521105295515,40.794252,-84.216516,75.81020384372641,23.8828668773887,61.17306895153741,136.98327279526382,7.289604693113066
978,1940,41.174496000000005,-84.798187,978_1940,10.808952362826927,-84.7391862959365,40.9285194303025,345,41508,46.521105295515,40.794252,-84.216516,75.81020384372641,27.763580633294012,71.11304690267406,146.92325074640047,7.939403363218199
980,1940,41.211277,-84.791321,980_1940,13.348574226705745,-84.5607217327371,40.9294122721993,345,19409,32.6720284035699,40.794252,-84.216516,53.24192358562562,36.81665197970938,94.3013919426815,147.54331552830712,8.47568882923273
982,1940,41.248058,-84.784424,982_1940,15.884842535498436,-84.5607217327371,40.9294122721993,345,19409,32.6720284035699,40.794252,-84.216516,53.24192358562562,40.06935590766926,102.63279883304988,155.8747224186755,9.020331598470165
984,1940,41.284843,-84.777496,984_1940,12.512754533694133,-84.5607217327371,40.9294122721993,345,19409,32.6720284035699,40.794252,-84.216516,53.24192358562562,43.470112635877925,111.3434250275572,164.58534861318282,9.589764784821103
986,1940,41.321632,-84.770599,986_1940,16.478131675628525,-84.5607217327371,40.9294122721993,345,19409,32.6720284035699,40.794252,-84.216516,53.24192358562562,46.98894825457764,120.35649598913598,173.5984195747616,10.17896946446804
988,1940,41.358418,-84.763672,988_1940,17.090893822808848,-84.5607217327371,40.9294122721993,345,19409,32.6720284035699,40.794252,-84.216516,53.24192358562562,50.59879071298497,129.6026699407819,182.84459352640752,10.783412609802504
990,1940,41.39521,-84.756744,990_1940,17.093708357853817,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,62.20594267167196,159.33298291974728,176.80990013907785,11.174550001884475
992,1940,41.432003,-84.74981700000001,992_1940,17.094143761049434,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,60.4971179768963,154.9560355701571,172.43295278948767,10.888419129073165
994,1940,41.468788,-84.742859,994_1940,17.097848294335193,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,59.026119487253425,151.1882512209622,168.66516844029277,10.642110608935068
996,1940,41.505589,-84.735901,996_1940,17.098808285686257,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,57.81323603880358,148.08159726676516,165.55851448609573,10.43902166670223
998,1940,41.542374,-84.728943,998_1940,17.095861307909402,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,56.875550333289,145.67982897769005,163.15674619702062,10.282012682596463
1000,1940,41.579178000000006,-84.721985,1000_1940,17.104992790361482,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,56.22651583209044,144.01740576453153,161.4943229838621,10.17333634564958
1002,1940,41.615978000000005,-84.714996,1002_1940,17.106025410258983,-84.0480033615582,41.5673844192995,345,21243,10.724750297169392,41.583622,-83.921239,17.476917219330577,55.873842022869404,143.11407454556027,160.59099176489084,10.114283556233195
