row_full,col_full,latitude,longitude,rowf_colf,km2,lon_station,lat_station,voltage,objectid,km_urban_fromstation,lat_urban_fromstation,lon_urban_fromstation,cost_trunk_upfront,km_site_spur,cost_spur_upfront,cost_trans_upfront,cost_trans_annual
1218,1188,45.951233,-104.038269,1218_1188,7.559830428786587,-103.662845649643,46.1662474002689,230,25516,220.81931416295163,46.869282,-100.971292,565.6019103766155,37.618084083951025,96.35416314575538,661.9560735223708,30.84915195488501
1220,1188,45.9883,-104.04364,1220_1188,8.667332278098757,-103.662845649643,46.1662474002689,230,25516,220.81931416295163,46.869282,-100.971292,565.6019103766155,35.4810308159309,90.88036020623167,656.4822705828471,30.4913171701395
1222,1188,46.025372,-104.049026,1222_1188,6.924707623243059,-103.662845649643,46.1662474002689,230,25516,220.81931416295163,46.869282,-100.971292,565.6019103766155,33.719419844817054,86.36820720739058,651.9701175840061,30.196347600551817
1224,1188,46.062443,-104.054413,1224_1188,5.1829709195278095,-103.662845649643,46.1662474002689,230,25516,220.81931416295163,46.869282,-100.971292,565.6019103766155,32.39404022253937,82.97340793824101,648.5753183148565,29.97442195230478
1226,1188,46.099509999999995,-104.059814,1226_1188,3.440253446945666,-103.662845649643,46.1662474002689,230,25516,220.81931416295163,46.869282,-100.971292,565.6019103766155,31.56091357941092,80.83945501512227,646.4413653917377,29.83492065981439
1228,1188,46.136581,-104.065216,1228_1188,1.698491576539375,-103.662845649643,46.1662474002689,230,25516,220.81931416295163,46.869282,-100.971292,565.6019103766155,31.258193184918802,80.06407341372686,645.6659837903424,29.784232224096773
1230,1188,46.173645,-104.07061800000001,1230_1188,0.10862037407564787,-103.662845649643,46.1662474002689,230,25516,220.81931416295163,46.869282,-100.971292,565.6019103766155,31.50124442591002,80.68661971020977,646.2885300868253,29.824929472875603
1218,1190,45.954952,-103.984955,1218_1190,13.637153444021884,-103.662845649643,46.1662474002689,230,25516,220.81931416295163,46.869282,-100.971292,565.6019103766155,34.246381307797655,87.71795512815778,653.3198655047732,30.284583651798933
1220,1190,45.992022999999996,-103.99029499999999,1220_1190,17.206664178278267,-103.662845649643,46.1662474002689,230,25516,220.81931416295163,46.869282,-100.971292,565.6019103766155,31.883939286682725,81.66684621424024,647.2687565908557,29.88900907967674
1222,1190,46.029102,-103.995636,1222_1190,17.2075270267169,-103.662845649643,46.1662474002689,230,25516,220.81931416295163,46.869282,-100.971292,565.6019103766155,29.909900516638935,76.6105851542573,642.2124955308727,29.558469944818235
1224,1190,46.066174,-104.00099200000001,1224_1190,17.20359281747617,-103.662845649643,46.1662474002689,230,25516,220.81931416295163,46.869282,-100.971292,565.6019103766155,28.407398676611635,72.76210879119466,638.3640191678102,29.30688640661097
1226,1190,46.103249,-104.006348,1226_1190,17.205133515891024,-103.662845649643,46.1662474002689,230,25516,220.81931416295163,46.869282,-100.971292,565.6019103766155,27.45225478431979,70.31562347258632,635.9175338492018,29.146954169912032
1228,1190,46.140312,-104.011719,1228_1190,17.207133746378354,-103.662845649643,46.1662474002689,230,25516,220.81931416295163,46.869282,-100.971292,565.6019103766155,27.10388511790509,69.42331679376014,635.0252271703756,29.0886220794308
1230,1190,46.177383,-104.01709,1230_1190,17.142677516690377,-103.662845649643,46.1662474002689,230,25516,220.81931416295163,46.869282,-100.971292,565.6019103766155,27.383841850418733,70.14039203390722,635.7423024105227,29.135498897438186
1232,1190,46.214458,-104.022476,1232_1190,15.609680660414298,-103.662845649643,46.1662474002689,230,25516,220.81931416295163,46.869282,-100.971292,565.6019103766155,28.274907981658576,72.42274993367518,638.0246603102906,29.284701756364406
