row_full,col_full,latitude,longitude,rowf_colf,km2,lon_station,lat_station,voltage,objectid,km_urban_fromstation,lat_urban_fromstation,lon_urban_fromstation,cost_trunk_upfront,km_site_spur,cost_spur_upfront,cost_trans_upfront,cost_trans_annual
686,1548,36.351089,-94.61816400000001,686_1548,0.005336028076477648,-94.5274873996803,36.2540797170224,345,24361,21.497948075875676,36.351876,-94.320869,35.03278384082381,13.498430438853672,34.574593586806934,69.60737742763075,3.7808361659124152
688,1548,36.387886,-94.61737099999999,688_1548,1.5366332129900342,-94.3541491921257,36.3582634039808,345,24361,2.9983568380663406,36.35773614430384,-94.32074931951918,4.886084319066133,23.848376185969677,61.08472522566923,65.97080954473536,4.205328794549378
690,1548,36.424664,-94.616577,690_1548,4.175607899037945,-94.3541491921257,36.3582634039808,345,24361,2.9983568380663406,36.35773614430384,-94.32074931951918,4.886084319066133,24.669994792503,63.1892017078002,68.07528602686634,4.342903145929087
692,1548,36.461459999999995,-94.61578399999999,692_1548,6.810604756911267,-94.3541491921257,36.3582634039808,345,24361,2.9983568380663406,36.35773614430384,-94.32074931951918,4.886084319066133,26.112200336626586,66.8832364166939,71.76932073576003,4.58439048654103
694,1548,36.498253000000005,-94.61499,694_1548,4.497291850337613,-94.3541491921257,36.3582634039808,345,24361,2.9983568380663406,36.35773614430384,-94.32074931951918,4.886084319066133,28.078977697470048,71.92089825707824,76.80698257614436,4.913713748666253
674,1550,36.129818,-94.577362,674_1550,0.2149585399386942,-94.4342875922965,36.1081913232944,345,38712,15.604430197630197,36.043197,-94.280665,25.428781767607603,13.102337336145771,33.56004910989914,58.98883087750674,3.297646089518735
678,1550,36.203339,-94.575745,678_1550,1.7264583167025775,-94.5274873996803,36.2540797170224,345,24361,21.497948075875676,36.351876,-94.320869,35.03278384082381,7.107977396311924,18.206222628248412,53.23900646907222,2.710799015634576
680,1550,36.240111999999996,-94.574951,680_1550,7.734285625304303,-94.5274873996803,36.2540797170224,345,24361,21.497948075875676,36.351876,-94.320869,35.03278384082381,4.538926235113732,11.625909442615173,46.658693283438986,2.280629172409642
682,1550,36.276882,-94.574127,682_1550,10.381034289006598,-94.5274873996803,36.2540797170224,345,24361,21.497948075875676,36.351876,-94.320869,35.03278384082381,4.895614472676651,12.53952313324361,47.57230697406742,2.340354150078462
684,1550,36.313663,-94.57330300000001,684_1550,13.022169335328266,-94.5274873996803,36.2540797170224,345,24361,21.497948075875676,36.351876,-94.320869,35.03278384082381,7.788151861276677,19.948407084493777,54.98119092531759,2.8246895240754544
686,1550,36.350445,-94.57251,686_1550,15.65120898986613,-94.5274873996803,36.2540797170224,345,24361,21.497948075875676,36.351876,-94.320869,35.03278384082381,11.432232056292913,29.28227684891938,64.31506068974319,3.4348655415348004
688,1550,36.387229999999995,-94.571686,688_1550,16.73671328007934,-94.3541491921257,36.3582634039808,345,24361,2.9983568380663406,36.35773614430384,-94.32074931951918,4.886084319066133,19.78405936081703,50.674470264974126,55.56055458404026,3.5247870607378347
690,1550,36.424015000000004,-94.570862,690_1550,16.741703097480872,-94.3541491921257,36.3582634039808,345,24361,2.9983568380663406,36.35773614430384,-94.32074931951918,4.886084319066133,20.766614615148423,53.191166465245445,58.07725078431158,3.689309140367593
692,1550,36.460808,-94.570068,692_1550,16.74847750334934,-94.3541491921257,36.3582634039808,345,24361,2.9983568380663406,36.35773614430384,-94.32074931951918,4.886084319066133,22.462367091522115,57.53463091172525,62.42071523079139,3.9732511606462966
694,1550,36.497608,-94.569244,694_1550,8.848963038256203,-94.3541491921257,36.3582634039808,345,24361,2.9983568380663406,36.35773614430384,-94.32074931951918,4.886084319066133,24.72116508369473,63.32026820695258,68.20635252601872,4.351471257172716
660,1552,35.871914000000004,-94.53765899999999,660_1552,0.00045772583140778965,-94.4342875922965,36.1081913232944,345,38712,15.604430197630197,36.043197,-94.280665,25.428781767607603,27.824884417086718,71.27006911496515,96.69885088257276,5.762834741786099
662,1552,35.908649,-94.536835,662_1552,1.314031810238954,-94.4342875922965,36.1081913232944,345,38712,15.604430197630197,36.043197,-94.280665,25.428781767607603,23.993688436929116,61.45692494495255,86.88570671256015,5.1213274806462525
664,1552,35.945389,-94.536011,664_1552,3.74619384098511,-94.4342875922965,36.1081913232944,345,38712,15.604430197630197,36.043197,-94.280665,25.428781767607603,20.258058410918174,51.88856138408734,77.31734315169494,4.495822077364985
666,1552,35.982132,-94.535187,666_1552,6.1797433152554575,-94.4342875922965,36.1081913232944,345,38712,15.604430197630197,36.043197,-94.280665,25.428781767607603,16.682928606452112,42.731299688408896,68.1600814560165,3.8971913257770403
668,1552,36.018887,-94.534363,668_1552,8.669142216797947,-94.4342875922965,36.1081913232944,345,38712,15.604430197630197,36.043197,-94.280665,25.428781767607603,13.396997876223535,34.31478637105014,59.74356813865774,3.3469849583759466
670,1552,36.055634000000005,-94.533508,670_1552,11.307058994240146,-94.4342875922965,36.1081913232944,345,38712,15.604430197630197,36.043197,-94.280665,25.428781767607603,10.671290041280956,27.33321610209091,52.76199786969851,2.89058403894569
672,1552,36.092388,-94.532684,672_1552,13.945545501865256,-94.4342875922965,36.1081913232944,345,38712,15.604430197630197,36.043197,-94.280665,25.428781767607603,9.032388188399954,23.135367637507674,48.56414940511527,2.6161612622556127
674,1552,36.12915,-94.53186,674_1552,16.327173941171313,-94.4342875922965,36.1081913232944,345,38712,15.604430197630197,36.043197,-94.280665,25.428781767607603,9.086921149124983,23.2750472071209,48.7038289747285,2.6252924292483075
676,1552,36.165913,-94.531006,676_1552,6.868612007695718,-94.4342875922965,36.1081913232944,345,38712,15.604430197630197,36.043197,-94.280665,25.428781767607603,10.807686717930489,27.682579658328873,53.11136142593648,2.9134227188041972
678,1552,36.202678999999996,-94.530182,678_1552,7.905290930893374,-94.5274873996803,36.2540797170224,345,24361,21.497948075875676,36.351876,-94.320869,35.03278384082381,5.708732459146142,14.62222630733893,49.655010148162745,2.4765051314391524
680,1552,36.239445,-94.529358,680_1552,15.701479644485376,-94.5274873996803,36.2540797170224,345,24361,21.497948075875676,36.351876,-94.320869,35.03278384082381,1.6326012822664686,4.181710316570452,39.21449415739426,1.7939851661673027
