row_full,col_full,latitude,longitude,rowf_colf,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
1024,344,38.905258,-123.741699,1024_344,CA,0.7834109503817938,0.41888091463825367,15.24570418247314,13.952691380763385,81.78582730415745,37.266472907151716,0.9940510694641952,0.4163890211742963,37.489495310576714,0,0,0,0,0,0,0,0,0,0
1026,344,38.940067,-123.75785800000001,1026_344,CA,0.15953947911268873,0.3981863423878723,15.57566844400574,13.952691380763385,83.75643282798767,39.29788579888015,0.9939286214094752,0.39576880235365924,39.53793557444036,0,0,0,0,0,0,0,0,0,0
1100,344,40.227715,-124.368652,1100_344,CA,0.045680028113924416,0.5240711527026737,27.596876370495767,14.797129000627985,154.98854867228917,32.47682176729522,0.9894499808820437,0.5185421920224911,32.82310616484504,0,0,0,0,0,0,0,0,0,0
1102,344,40.262505,-124.38551299999999,1102_344,CA,0.2663789132670228,0.5287875822588196,27.634615508471626,14.797129000627985,155.21393354704617,32.19529752903013,0.989435976080401,0.5232014575914505,32.53904073366133,0,0,0,0,0,0,0,0,0,0
1018,346,38.813377,-123.648651,1018_346,CA,0.007734563905863389,0.4439706939189157,13.776696349172212,13.952691380763385,73.01265005942531,34.78274469478917,0.9945962107795625,0.4415715698689265,34.971724522785514,0,0,0,0,0,0,0,0,0,0
1020,346,38.84819,-123.66473400000001,1020_346,CA,2.8433680645432187,0.4130425907518637,14.031626729135745,13.952691380763385,74.53513983639357,37.45768907737893,0.9945016074156389,0.41077152043384835,37.664784851095746,0,0,0,0,0,0,0,0,0,0
1022,346,38.882999,-123.680847,1022_346,CA,7.394704991533826,0.3900061225506006,14.318790861867678,13.952691380763385,76.2501353440254,39.75425342656679,0.994395042270447,0.3878201547194376,39.97833027787238,0,0,0,0,0,0,0,0,0,0
1024,346,38.917815999999995,-123.69696,1024_346,CA,14.580378561241865,0.370408556511297,14.635676741898946,13.952691380763385,78.14263443684527,41.95523064417507,0.9942774475364057,0.3682888741136969,42.19670349370855,0,0,0,0,0,0,0,0,0,0
1026,346,38.952633,-123.713104,1026_346,CA,15.223161731142143,0.34899291447835845,14.980607831765756,13.952691380763385,80.2026245335762,44.64260295795729,0.994149445368018,0.34695111236602816,44.905324009340795,0,0,0,0,0,0,0,0,0,0
1028,346,38.987446000000006,-123.729248,1028_346,CA,0.5880465310610787,0.3437762460296389,15.351043790894293,13.952691380763385,82.41493426643471,45.443044732058056,0.9940119784727156,0.34171770646784444,45.71679790205407,0,0,0,0,0,0,0,0,0,0
