,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
OK,973.8189704496027,366.0502769312988,1400.5797214316349,2029.9312204190621,846.0822522379441,2183.341125486082,1922.2813181515978,1649.8340883902868,1202.8338989339968,770.9730954220162,1852.240299883521,969.8339784838141,1060.0534136689816,332.4494883687439,1069.391806802096,752.0746936921631,2323.9001449862817,1816.7760506513844,2460.2138219084504,1350.1612519070277,1085.0074342869239,519.8869166055676,787.8891975790586,1696.646436484551,1534.063389572901,1265.8829371589738,607.7517222603396,2342.8026611035552,2028.4089700867924,896.673639415177,1774.636057747255,2025.2941359454057,1354.2820937578822,0.0,2403.8852318356244,1818.7696063804542,2302.520918862068,1452.0554561696138,908.2759134576625,986.6477218334974,540.9928908076522,1426.5799339595587,1740.3818524400676,2237.4076226392303,2418.766833874486,1117.9502494743838,1470.1312205559466,1020.9033071171349
OR,3342.0095861020504,2737.629709178241,1581.729630005969,1069.7414058024626,1557.8559562209566,4008.139346156486,3884.027965133768,4047.692850327505,3526.887178420811,2430.148630397886,569.8136543804277,2795.9094184143783,3004.337681146573,2331.4144639273463,3176.611311769417,3139.6368494676094,4097.340594788186,3805.4330880818266,4126.101056943533,3097.2855639318896,2309.9387832026737,2608.435087623336,3190.623206288836,923.347444145339,3737.802751662879,1906.7091079056447,2175.5783406565984,4071.255085939381,3932.2206495991095,1759.1503290779478,983.0604021944662,3835.105089353044,3281.410048645985,2403.8852318356244,0.0,3734.9148253410663,4107.011943781783,3725.7989061912963,1879.894309639004,3245.199498918758,2707.038946910373,995.1876804100406,3809.922942234423,3870.1556171873494,293.67336508868806,2708.2086050628595,3501.5923497751787,1425.1858337987237
PA,1192.3081318939915,1510.4785339652722,3188.241570917387,3726.219093069358,2395.281979522142,370.11138416502837,155.53322780319508,1434.3912090413914,977.6431742820959,1339.296809274027,3179.470423471432,970.0408208096105,792.1420855428911,1629.4250410653867,755.1813287611253,1696.1092402923955,518.8760914396593,136.63558572279877,694.331404682138,638.2638049080447,1429.742466668988,1329.334493368711,1464.9231402473672,2822.6368009809453,595.6519522192424,1858.3185903148917,1635.9940515030084,557.2168651272407,212.9106218081294,2681.904608317138,3433.2777543780917,243.7427274656752,483.8290456594841,1818.7696063804542,3734.9148253410663,0.0,488.8531222192883,785.3467739052461,1864.9696331155333,935.5400517083589,2112.424758377701,2946.9134662728907,289.0668193826054,554.760389159794,3618.637582799815,1026.7787458883167,363.9272789842259,2389.8620372416467
RI,1659.4197190347697,1999.0080132338605,3659.4725140194287,4173.596639822232,2840.23262424977,119.30407964943673,430.7581631165934,1783.3712032893047,1426.0850319318981,1773.2367181201234,3565.2127035353337,1415.1252414315818,1258.7180455637135,2098.607391584248,1243.371960410971,2171.2084414919905,57.74332030047153,534.696674170012,267.65966447346415,1043.216854423163,1802.0347490990325,1804.5218156760604,1939.6616582698857,3185.119661622292,1007.1121479191078,2203.2945557707517,2077.2360658168195,138.61308279354714,297.6062004129065,3155.069519118924,3875.66248077798,286.14899298790226,952.590482063831,2302.520918862068,4107.011943781783,488.8531222192883,0.0,1195.990649836931,2268.816616196363,1419.2436283303866,2600.188792642223,3372.6696187397,678.9176933370084,336.5270438407578,3966.6491426085786,1423.1306796393974,851.7539197319488,2811.3806272108427
SC,539.8804894465089,1087.514254192955,2843.6476866270505,3480.2086619299694,2220.0849075994906,1095.1051822496313,771.3697756788296,671.3147832241233,274.8635173876825,1340.85394618142,3156.0515358648718,1031.7195071871936,828.4702354195131,1407.8384369546052,592.8242588919857,1047.9392195097355,1243.3705620063063,680.0090810332603,1445.8738569350126,978.8938192609995,1600.8513230722544,1117.9927680237224,828.179844251867,2877.914950279029,191.5643543758605,2032.6996616630722,1554.8556882594594,1303.1464696021965,906.6652868881465,2345.7739670741366,3216.6961698049877,1021.1285833869093,725.4640798673815,1452.0554561696138,3725.7989061912963,785.3467739052461,1195.990649836931,0.0,1884.950794995653,484.2062301928002,1558.889441220257,2811.9412578912375,520.9686787637274,1339.0987779185728,3672.772956997311,1230.2884401048655,534.2401538333827,2303.2977240947735
SD,1595.3044833091565,1080.7578278328142,1599.2442082761108,1951.3491457111465,674.6051361974316,2162.1353449466164,2010.8030941025897,2319.943266750885,1724.1260455778686,553.7017856094784,1317.3715921964892,916.0570091411865,1125.501457376965,634.0633816903073,1310.8097854109003,1595.820237958914,2267.2063324373985,1928.5995565741675,2330.4297785248687,1233.1864361669795,491.1083050816856,807.9409862504086,1541.9616409029957,995.5397688061084,1873.6947567785164,379.8619598686892,361.93010929541396,2253.371509387403,2068.174822660387,1181.8808688734518,1644.3260945471343,1987.530358255142,1402.729063718157,908.2759134576625,1879.894309639004,1864.9696331155333,2268.816616196363,1884.950794995653,0.0,1422.8106083247933,1437.4178189149984,1114.4413078053442,1930.0532997481905,2075.33510869393,1795.6540256243902,846.3906331185499,1621.786494113632,555.9671431032915
TN,315.85601916977186,631.0708169918336,2386.6305398323107,3006.089904806533,1736.1387550096524,1302.5967986593598,1000.4244241151362,941.923029491723,306.4810870181753,896.0054163601814,2675.734280930581,650.9948625585783,497.91698679088694,923.6358292103491,273.27167456306995,768.8357402522211,1453.3234131857632,892.2266360207983,1627.1276741519664,772.9633903831007,1197.2137990228273,636.9394646813089,541.5898509966596,2409.023402472112,547.4469276146789,1608.7071178939925,1081.2976904376433,1492.2649592384928,1124.7031203039105,1883.299430881929,2738.0686960284875,1173.126547785388,595.3180524850194,986.6477218334974,3245.199498918758,935.5400517083589,1419.2436283303866,484.2062301928002,1422.8106083247933,0.0,1185.962096429915,2327.779486341568,783.3989298007136,1452.4348025309575,3199.2288264088056,881.8819002439919,573.4952948393258,1821.225795276934
TX,1019.4067293458868,635.4223314013236,1406.988795924059,2120.4405298353277,1208.5407079707559,2482.1928297122804,2185.9753756632713,1521.249482059346,1284.2486829174702,1287.7703762534475,2193.721663652991,1412.6607011361514,1443.343283590214,868.258452445451,1368.6251927717283,552.4016065018657,2631.176631901571,2077.711817098988,2793.732154393847,1759.2955923554139,1618.499228470723,972.646273432857,737.2809699243552,2120.426484254007,1694.146132676417,1802.927058531534,1148.733470879605,2664.0871864495243,2308.3107088518273,987.1171075736306,1921.64550528118,2342.250978883371,1697.6590700651518,540.9928908076522,2707.038946910373,2112.424758377701,2600.188792642223,1558.889441220257,1437.4178189149984,1185.962096429915,0.0,1712.7140368488976,1966.8194005926089,2595.728089075833,2771.891477598884,1598.5333937590094,1748.6380966315626,1439.2071607623645
UT,2386.820289440496,1774.9033276319242,809.8486864666322,856.9602799065483,593.2538926265049,3262.8707710760864,3085.268518674898,3076.398668044879,2591.3899770589796,1607.6511420163636,507.28389059233706,1977.5083955325529,2169.3216544248,1404.4323070181954,2303.1567410073008,2150.013494758234,3374.1050363122863,2994.6157117997996,3443.8764531104102,2330.2265591951195,1603.2818396924256,1702.7173842336492,2214.0365088222634,673.1171043060868,2849.68798127326,1315.3178082510312,1314.6565794367373,3363.663443123517,3155.741050354761,793.1042225056061,549.9863084925419,3088.6019776461944,2468.926735075713,1426.5799339595587,995.1876804100406,2946.9134662728907,3372.6696187397,2811.9412578912375,1114.4413078053442,2327.779486341568,1712.7140368488976,0.0,2970.874493690469,3189.2653340366005,1075.8318771969948,1951.2208436423628,2665.434940452378,561.771328925119
VA,989.7274940091038,1402.8534911779695,3135.343390811823,3714.4854828423386,2398.3485666265433,574.7884936344876,250.61970889679355,1150.6345593849753,748.4779255407168,1381.8180190429991,3245.713557103831,1014.0136309427295,807.5076747911745,1599.9069500148642,682.2082793279399,1506.3451168684903,724.2853872287177,163.5095320232486,925.0481915933045,767.6992775675333,1538.5143203612963,1292.2098417895595,1275.782520683081,2913.7149982222977,329.9776517536303,1978.6226726925588,1658.4179950711068,782.374993704152,386.0780984779233,2627.9972410744026,3430.8219066863194,506.9957532864663,536.7187141661115,1740.3818524400676,3809.922942234423,289.0668193826054,678.9176933370084,520.9686787637274,1930.0532997481905,783.3989298007136,1966.8194005926089,2970.874493690469,0.0,827.6666055918228,3715.1813104939583,1130.5976647798966,308.508138543765,2425.3001491289115
VT,1730.9411680242833,1970.3961734837585,3544.426050907032,4012.809882594464,2685.727096915068,331.655443847872,592.3257741505349,1977.4699302895012,1528.5809734739732,1623.2176938462405,3342.045336044839,1292.7362290025471,1177.6838286955797,1995.580714665386,1229.4948485677137,2221.1311525286574,291.9374337149286,664.2170614877572,256.78106317001783,902.5588377311683,1591.5947074906896,1721.5236040157718,1992.3270950891751,2946.9207264251622,1148.4166143267817,1964.2773583083663,1928.9944336173196,228.09735103858503,473.24790010561907,3048.1721596675548,3709.481665650056,320.78861067935867,898.5708959095182,2237.4076226392303,3870.1556171873494,554.760389159794,336.5270438407578,1339.0987779185728,2075.33510869393,1452.4348025309575,2595.728089075833,3189.2653340366005,827.6666055918228,0.0,3713.8666880481815,1247.261774612134,886.0683965532455,2628.3961729957337
WA,3323.5814631914386,2732.5753264805044,1762.0701476175755,1325.7994790628472,1581.1967524978068,3872.648866567744,3770.6914105704373,4040.917123956921,3490.6914864552477,2349.1770891197107,578.2430068705905,2705.355089072122,2917.563997181749,2305.7427551135843,3106.0231017793863,3167.1540511119665,3953.1210853674543,3697.9973711087573,3967.833530052773,2980.882269004146,2189.0570697783673,2564.3593251369775,3196.174473974194,801.9142978979636,3669.0441723523045,1765.6454308599004,2118.553272718119,3921.87299666974,3809.3520211481796,1867.1641206886554,1194.3852549014582,3701.7491271671597,3180.709544604096,2418.766833874486,293.67336508868806,3618.637582799815,3966.6491426085786,3672.772956997311,1795.6540256243902,3199.2288264088056,2771.891477598884,1075.8318771969948,3715.1813104939583,3713.8666880481815,0.0,2595.0044079623785,3408.725280282907,1406.1056568756237
WI,1170.0651758617958,987.9657833947241,2312.9153179033397,2766.1680141637635,1438.70331847674,1315.7881795531102,1176.912450419541,1814.971475820254,1171.0978055061357,387.5632714500289,2154.465909645232,237.24087904922862,404.208646095874,814.0250530439669,649.6963113499659,1446.6543714020813,1423.0933196292074,1103.0891774519982,1498.3441335697662,389.3062267550012,408.43851796471637,625.992981651229,1279.1149241874396,1796.8550050243923,1156.860820770607,848.071755089553,687.5859904548036,1412.9600260180466,1225.3287776929,1828.344959492898,2463.8204332411115,1141.179232474408,594.3371712849172,1117.9502494743838,2708.2086050628595,1026.7787458883167,1423.1306796393974,1230.2884401048655,846.3906331185499,881.8819002439919,1598.5333937590094,1951.2208436423628,1130.5976647798966,1247.261774612134,2595.0044079623785,0.0,832.822393509895,1389.492008942898
WV,845.0764252060791,1151.2699374792992,2854.1501013759985,3417.8950353998393,2096.4414797543936,733.5636582619003,452.15747219357314,1205.0232978490142,657.6982659785475,1073.3369976232323,2937.218578994779,705.735946506863,499.2144993840772,1305.8126297410154,400.7569071056111,1338.7784098487343,882.803249666405,347.1565341724244,1053.6324155639745,494.27580870333503,1238.4783126850314,999.5492793933481,1108.583954426657,2607.0048842155447,381.6894099029459,1679.8693686583304,1351.7644375678447,919.2042605167848,563.5048773809095,2346.6282931962505,3131.359578485601,599.6327071920613,241.74415513965013,1470.1312205559466,3501.5923497751787,363.9272789842259,851.7539197319488,534.2401538333827,1621.786494113632,573.4952948393258,1748.6380966315626,2665.434940452378,308.508138543765,886.0683965532455,3408.725280282907,832.822393509895,0.0,2117.994080595598
WY,1921.7115423453824,1326.493728626502,1113.396778692408,1396.2972779117033,263.53752601259566,2702.032697731075,2530.3040073386746,2635.6811536873774,2101.7417966457233,1051.3364369205196,857.2702287197039,1422.5308947242413,1619.4883980200377,906.8709109974245,1768.5085166780918,1772.9303678572733,2812.4690120379737,2441.7847953014616,2882.6687661195765,1769.4807526935633,1046.8898598015737,1185.3109432360047,1790.7444672789593,683.2883194773418,2324.406332435112,809.0430849693028,767.5680744361816,2801.9001135037925,2597.564654458067,801.2922272234395,1088.7933575731502,2527.6521580649396,1914.8089942024828,1020.9033071171349,1425.1858337987237,2389.8620372416467,2811.3806272108427,2303.2977240947735,555.9671431032915,1821.225795276934,1439.2071607623645,561.771328925119,2425.3001491289115,2628.3961729957337,1406.1056568756237,1389.492008942898,2117.994080595598,0.0
