Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,km2,lon_station,lat_station,voltage,objectid,km_urban_fromstation,lat_urban_fromstation,lon_urban_fromstation,cost_trunk_upfront,km_site_spur,cost_spur_upfront,cost_trans_upfront,cost_trans_annual
1296211,41.45,-71.98,-5,60,-5,1309194,NEWE,Northeast,-71.99296832851435,41.452922852180535,17334,0.5333781691010041,-71.5391549480678,41.9694747219085,345,31977,0.0,41.9694747219085,-71.5391549480678,0.0,68.37424196778623,175.1323339814141,175.1323339814141,11.448793777305884
1300536,41.57,-71.86,-5,89,-5,1313519,NEWE,Northeast,-71.8739965655711,41.56791375344911,4352,1.2931635027380577,-71.5391549480678,41.9694747219085,345,31977,0.0,41.9694747219085,-71.5391549480678,0.0,51.77183438539544,132.60727913715388,132.60727913715388,8.668835489693352
1300587,41.93,-71.86,-5,142,-5,1313570,NEWE,Northeast,-71.85936682620942,41.92719428930328,17321,18.029107916045028,-71.6735031587308,42.0099481147729,345,17680,2.9293808414933773,41.986610999999996,-71.657033,4.773681908863195,17.82766110885796,45.663393254070286,50.43707516293348,3.1923228197487044
1301933,41.45,-71.82,-5,54,-5,1314916,NEWE,Northeast,-71.82177849884644,41.44571847783027,17333,103.14253212122938,-71.5391549480678,41.9694747219085,345,31977,0.0,41.9694747219085,-71.5391549480678,0.0,62.25142827389376,159.44948877707594,159.44948877707594,10.423570984323904
1302445,41.81,-71.82,-5,183,-5,1315428,NEWE,Northeast,-71.80688402188383,41.80499803008532,17322,78.03278437998135,-71.6735031587308,42.0099481147729,345,17680,2.9293808414933773,41.986610999999996,-71.657033,4.773681908863195,25.31698973465135,64.84640083764204,69.62008274650523,4.446359083983698
1305136,41.69,-71.74,-5,149,-5,1318119,NEWE,Northeast,-71.7546011412387,41.68277677090994,17328,142.53317556248757,-71.5391549480678,41.9694747219085,345,31977,0.0,41.9694747219085,-71.5391549480678,0.0,35.24100116319369,90.26555334185105,90.26555334185105,5.900861833514589
1305167,42.05,-71.74,-5,180,-5,1318150,NEWE,Northeast,-71.73927317934763,42.04204054881557,278,41.354110497556775,-71.6735031587308,42.0099481147729,345,17680,2.9293808414933773,41.986610999999996,-71.657033,4.773681908863195,7.079204289251318,18.13252380175473,22.906205710617925,1.3925680874047555
1305675,41.93,-71.7,-5,150,-5,1318658,NEWE,Northeast,-71.68692594930131,41.919790005902655,17323,167.00447426529112,-71.6695289130992,42.0095033038857,345,27963,2.7454217333083974,41.986610999999996,-71.657033,4.473904476624114,9.184754430242593,23.525635299508956,27.99953977613307,1.732115886080087
1305896,41.57,-71.7,-5,85,-5,1318879,NEWE,Northeast,-71.70251795681567,41.5605327453944,17329,190.2331776815489,-71.5391549480678,41.9694747219085,345,31977,0.0,41.9694747219085,-71.5391549480678,0.0,46.340993838900424,118.69683928413617,118.69683928413617,7.759478812897632
1306596,41.45,-71.66,-5,35,-5,1319579,NEWE,Northeast,-71.65062887941362,41.43826001945122,17319,173.4787217892976,-71.5391549480678,41.9694747219085,345,31977,0.0,41.9694747219085,-71.5391549480678,0.0,58.566846439706445,150.01187897262992,150.01187897262992,9.806613247591809
1309027,41.81,-71.62,-5,140,-5,1322010,NEWE,Northeast,-71.6347789255984,41.79751577896646,4353,165.6145485515439,-71.5391549480678,41.9694747219085,345,31977,0.0,41.9694747219085,-71.5391549480678,0.0,18.941244340786927,48.515701738633375,48.515701738633375,3.1715803218030585
1309757,41.69,-71.58,-5,93,-5,1322740,NEWE,Northeast,-71.5828305278457,41.675218059496935,17327,104.68942730306256,-71.5391549480678,41.9694747219085,345,31977,0.0,41.9694747219085,-71.5391549480678,0.0,31.22614287788452,79.98198043669058,79.98198043669058,5.2286015900259875
1309777,42.05,-71.58,-5,121,-5,1322760,NEWE,Northeast,-71.56642207864239,42.03445740728213,17420,21.586665302170935,-71.5391549480678,41.9694747219085,345,31977,0.0,41.9694747219085,-71.5391549480678,0.0,9.562811569387808,24.493982841673034,24.493982841673034,1.6012266379602043
1310603,41.57,-71.54,-5,77,-5,1323586,NEWE,Northeast,-71.53107919032851,41.55289703713811,1097,115.7846296714728,-71.5391549480678,41.9694747219085,345,31977,0.0,41.9694747219085,-71.5391549480678,0.0,44.36923960638435,113.64642979014917,113.64642979014917,7.429322208042808
1312286,41.93,-71.5,-5,115,-5,1325269,NEWE,Northeast,-71.51441232412493,41.91212846181483,17419,61.68602770604446,-71.5391549480678,41.9694747219085,345,31977,0.0,41.9694747219085,-71.5391549480678,0.0,5.455682644176012,13.974069875415877,13.974069875415877,0.9135163141848919
1313580,41.77,-71.46,-5,33,-5,1326563,NEWE,Northeast,-71.46260011783042,41.7897752946956,17421,23.197421243491245,-71.5391549480678,41.9694747219085,345,31977,0.0,41.9694747219085,-71.5391549480678,0.0,23.109804140916317,59.19296244569484,59.19296244569484,3.869576820580096
1313780,41.45,-71.46,-5,25,-5,1326763,NEWE,Northeast,-71.47952336183945,41.430552899710534,17320,122.08686489957879,-71.5391549480678,41.9694747219085,345,31977,0.0,41.9694747219085,-71.5391549480678,0.0,58.07170310416427,148.7436293290039,148.7436293290039,9.723704921653797
1316493,42.01,-71.38,-5,83,-5,1329476,NEWE,Northeast,-71.39361292481206,42.02661499366636,4379,30.067597298376466,-71.5391549480678,41.9694747219085,345,31977,0.0,41.9694747219085,-71.5391549480678,0.0,13.935231304805914,35.69340606556699,35.69340606556699,2.3333580725172256
