Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,km2,lon_station,lat_station,voltage,objectid,km_urban_fromstation,lat_urban_fromstation,lon_urban_fromstation,cost_trunk_upfront,km_site_spur,cost_spur_upfront,cost_trans_upfront,cost_trans_annual
1247222,43.69,-73.5,-5,158,-5,1260205,NYUP,Northeast,-73.51641544899444,43.67607777263135,18368,0.09226834747137423,-73.057689352918,43.6337019668118,345,65993,81.2662688076605,44.355548999999996,-73.220817,132.43048213907673,36.221049033668905,92.77582718226459,225.20630932134134,11.813182458604054
1247487,44.05,-73.5,-5,258,-5,1260470,NYUP,Northeast,-73.51332841577738,44.038067459171344,18296,0.015313035355313243,-73.057689352918,43.6337019668118,345,65993,81.2662688076605,44.355548999999996,-73.220817,132.43048213907673,58.349742479211024,149.45579349037936,281.8862756294561,15.51847908095774
1248381,43.93,-73.46,-5,147,-5,1261364,NYUP,Northeast,-73.45451962588395,43.9154025957256,18357,19.503189737204444,-73.057689352918,43.6337019668118,345,65993,81.2662688076605,44.355548999999996,-73.220817,132.43048213907673,46.18036862920974,118.28541727696224,250.71589941603895,13.480801622343357
1249152,43.57,-73.46,-5,253,-5,1262135,NYUP,Northeast,-73.45794821282587,43.553411773915826,4611,16.478070578744465,-73.057689352918,43.6337019668118,345,65993,81.2662688076605,44.355548999999996,-73.220817,132.43048213907673,33.24488039777617,85.15273192701125,217.58321406608798,11.314843610842129
1250981,44.17,-73.38,-5,29,-5,1263964,NEWE,Northeast,-73.39212697196841,44.1546724362409,18294,62.51452630567998,-73.057689352918,43.6337019668118,345,65993,81.2662688076605,44.355548999999996,-73.220817,132.43048213907673,64.97102055645955,166.41539479981455,298.84587693889125,16.627166286357834
1251229,43.81,-73.38,-5,39,-5,1264212,NEWE,Northeast,-73.39594497767915,43.79270601381107,18370,55.85503749724524,-73.057689352918,43.6337019668118,345,65993,81.2662688076605,44.355548999999996,-73.220817,132.43048213907673,32.530240065789144,83.32226732958131,215.75274946865804,11.195182031416945
1251520,44.53,-73.38,-5,29,-5,1264503,NYUP,Northeast,-73.38826593731169,44.51660144255664,18288,0.012945663315554159,-72.4987876039374,44.1188821927026,230,16964,56.89723955384795,44.520874,-72.94056499999999,145.73538328746238,83.83205472570303,214.72564790534904,360.46103119281145,20.362822569677977
1251597,44.89,-73.38,-5,30,-5,1264580,NYUP,Northeast,-73.38423270223466,44.87849643506985,18143,26.302749902777453,-72.4987876039374,44.1188821927026,230,16964,56.89723955384795,44.520874,-72.94056499999999,145.73538328746238,110.6929863391747,283.5266687429736,429.26205203043594,24.8604997337457
1252138,44.41,-73.34,-5,29,-5,1265121,NYUP,Northeast,-73.32922913523213,44.3938904306661,18306,17.255533388193708,-72.4987876039374,44.1188821927026,230,16964,56.89723955384795,44.520874,-72.94056499999999,145.73538328746238,74.55299067673127,190.95844994759932,336.6938332350617,18.80910749093324
1252151,42.93,-73.34,-5,170,-5,1265134,NYUP,Northeast,-73.34580762129325,42.94611501714572,18221,11.544630867751891,-73.057689352918,43.6337019668118,345,65993,81.2662688076605,44.355548999999996,-73.220817,132.43048213907673,81.46878857453342,208.6724280821793,341.102910221256,19.389603402863617
1252171,43.65,-73.34,-5,99,-5,1265154,NEWE,Northeast,-73.33761046293542,43.66997841015133,18369,158.61923872471428,-73.057689352918,43.6337019668118,345,65993,81.2662688076605,44.355548999999996,-73.220817,132.43048213907673,22.8506738196654,58.529231533878544,190.95971367295527,9.574405630592597
1252687,43.29,-73.34,-5,275,-5,1265670,NYUP,Northeast,-73.34172385263606,43.30800084507929,4609,3.354901159624157,-73.057689352918,43.6337019668118,345,65993,81.2662688076605,44.355548999999996,-73.220817,132.43048213907673,44.49863095875534,113.97785005727872,246.40833219635545,13.199206284355837
1253175,44.05,-73.34,-5,33,-5,1266158,NEWE,Northeast,-73.33344341325301,44.031964005503205,1157,183.0979804510899,-73.057689352918,43.6337019668118,345,65993,81.2662688076605,44.355548999999996,-73.220817,132.43048213907673,51.52575584843779,131.9769787889551,264.4074609280318,14.37584973068833
1253388,44.77,-73.34,-5,29,-5,1266371,NEWE,Northeast,-73.32496619449373,44.75580852098013,4560,57.179221471490116,-72.4987876039374,44.1188821927026,230,16964,56.89723955384795,44.520874,-72.94056499999999,145.73538328746238,98.58488893646876,252.51324472272267,398.24862801018503,22.833082592296087
1253601,43.17,-73.3,-5,216,-5,1266584,NYUP,Northeast,-73.28399425054461,43.1852582489196,18343,51.17059860264142,-73.057689352918,43.6337019668118,345,65993,81.2662688076605,44.355548999999996,-73.220817,132.43048213907673,55.13027938211104,141.20952895953755,273.6400110986143,14.979402258874508
1254445,42.81,-73.3,-5,289,-5,1267428,NYUP,Northeast,-73.28836774650598,42.82344749475542,18224,88.0779118648353,-72.6523113649446,42.9681494530634,345,29107,160.82272175593081,44.355548999999996,-73.220817,262.07467001424436,55.748629058536416,142.79335671297792,404.8680267272223,20.710218378750522
1254677,43.89,-73.26,-5,89,-5,1267660,NEWE,Northeast,-73.27500372588169,43.909205991937405,18364,184.96256838089766,-73.057689352918,43.6337019668118,345,65993,81.2662688076605,44.355548999999996,-73.220817,132.43048213907673,32.80740293603528,84.0321864301406,216.46266856921733,11.241591036516692
