Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,km2,lon_station,lat_station,voltage,objectid,km_urban_fromstation,lat_urban_fromstation,lon_urban_fromstation,cost_trunk_upfront,km_site_spur,cost_spur_upfront,cost_trans_upfront,cost_trans_annual
207348,44.37,-117.3,-8,780,-8,202117,NWPP,Northwest,-117.28731456298462,44.38169243105378,39685,18.1760775338936,-116.821295906303,43.9054677719338,230,3367,19.304569056642734,43.750049,-116.71401399999999,49.44631396408138,64.27738327312781,164.63872696598835,214.08504093006974,12.90904776321722
208412,44.49,-117.22,-8,852,-8,203568,NWPP,Northwest,-117.21231990979065,44.49946643863229,2484,45.22519251498415,-116.821295906303,43.9054677719338,230,3367,19.304569056642734,43.750049,-116.71401399999999,49.44631396408138,72.34930992661437,185.31398878780004,234.76030275188143,14.260636036544565
209431,44.25,-117.18,-7,720,-7,200671,NWPP,Northwest,-117.18261054075177,44.25821222269624,39686,60.56442581668135,-116.821295906303,43.9054677719338,230,3367,19.304569056642734,43.750049,-116.71401399999999,49.44631396408138,47.865327374726824,122.60123489003108,172.04754885411245,10.160962548160125
209768,46.41,-117.14,-8,371,-8,226654,NWPP,Northwest,-117.12600957561816,46.40109217446503,8493,0.25201850909589285,-117.025975019885,46.431044212254,230,3431,0.6728976248323104,46.42499118752753,-117.02587339086004,1.7235457121843394,9.072367872949844,23.237770754025757,24.961316466210096,1.5939166898525807
209839,47.01,-117.14,-8,786,-8,233908,NWPP,Northwest,-117.12880726946292,46.99303707228418,34130,0.7111916567548855,-116.940253452782,46.7224653480529,230,3396,32.005798715378596,46.435046,-116.964835,81.97897437172978,35.40745264164826,90.69189863033178,172.67087300206157,9.487075747412842
210032,44.61,-117.14,-8,1040,-8,205016,NWPP,Northwest,-117.13702173726317,44.617191174693225,39676,0.0025176781981177164,-116.734129822171,44.5911750321636,230,3307,93.47604631921968,43.750049,-116.71401399999999,239.42756353997427,32.290927730828095,82.70929778774688,322.13686132772114,15.799378387388382
210042,43.77,-117.14,-7,703,-7,194863,NWPP,Northwest,-117.12394413890604,43.77563593386093,39756,0.16763396671681502,-116.686125172115,43.6790783208795,230,3332,0.0,43.6790783208795,-116.686125172115,0.0,37.941091562719706,97.18150765477183,97.18150765477183,6.3529732906159495
210329,47.57,-117.14,-8,894,-8,240746,NWPP,Northwest,-117.13162762173882,47.58527598723485,8570,0.058441191323998685,-116.921263527613,47.7857006271081,230,6612,4.59932608722678,47.745802,-116.937461,11.780616343463507,29.06761666794192,74.45317715890936,86.23379350237286,5.378515483742433
210377,42.93,-117.1,-7,1366,-7,184575,NWPP,Northwest,-117.11126342718373,42.93393393722268,39995,1.8292723391519827,-116.663042818956,43.3503266341158,500,169,19.946800320620824,43.517396999999995,-116.57284,18.76738385696282,58.687708626017056,150.32145281461337,169.0888366715762,10.641459470278818
210473,42.69,-117.1,-7,1473,-7,181611,NWPP,Northwest,-117.08280574782248,42.692464257865936,39998,18.690519296399746,-116.663042818956,43.3503266341158,500,169,19.946800320620824,43.517396999999995,-116.57284,18.76738385696282,81.547327032918,208.87359482463,227.64097868159283,14.469144420582454
210578,48.53,-117.1,-8,1110,-8,252699,NWPP,Northwest,-117.09893974196608,48.53100437336684,33935,11.781178113482184,-116.867175684082,47.8043043372634,230,6734,4.456876820234753,47.773317999999996,-116.829442,11.415749810624883,82.53010507595533,211.39086167117003,222.8066114817949,14.314602059061622
210755,46.77,-117.1,-8,797,-8,231000,NWPP,Northwest,-117.09150175221605,46.754475081815606,33832,21.53379253800122,-116.940253452782,46.7224653480529,230,3396,32.005798715378596,46.435046,-116.964835,81.97897437172978,13.301730428206556,34.070770349175596,116.04974472090538,5.785625498950249
210856,44.37,-117.1,-7,963,-7,202122,NWPP,Northwest,-117.10756352549028,44.37591798360426,39687,188.39359958595887,-116.821295906303,43.9054677719338,230,3367,19.304569056642734,43.750049,-116.71401399999999,49.44631396408138,56.22836202837066,144.02213457254805,193.46844853662944,11.561294842112883
210893,42.09,-117.1,-8,1674,-8,174234,NWPP,Northwest,-117.09914173769752,42.091756547432055,40015,10.20698814481934,-116.663042818956,43.3503266341158,500,169,19.946800320620824,43.517396999999995,-116.57284,18.76738385696282,144.50805214466985,370.1398614865452,388.907245343508,25.01148225320807
210909,47.93,-117.1,-8,1323,-8,245209,NWPP,Northwest,-117.0963452554013,47.938864095249,34156,1.7264207928206945,-116.921263527613,47.7857006271081,230,6612,4.59932608722678,47.745802,-116.937461,11.780616343463507,20.887941372465473,53.50193024955683,65.28254659302033,4.008885445761839
210924,47.33,-117.1,-8,857,-8,237808,NWPP,Northwest,-117.09390800655649,47.34663250820698,34194,26.44171987836308,-117.033908103245,47.346380613762,230,3399,38.478336660043574,47.692468,-117.033613,98.55759585855375,5.31652330269184,13.617630088033343,112.17522594658709,5.168162054029048
211000,43.53,-117.1,-7,807,-7,191944,NWPP,Northwest,-117.09497871950558,43.53431895681898,2487,13.007182444209544,-116.686125172115,43.6790783208795,230,3332,0.0,43.6790783208795,-116.686125172115,0.0,37.29477997990812,95.52605886704936,95.52605886704936,6.244752887514732
211254,42.45,-117.06,-8,1487,-8,178654,NWPP,Northwest,-117.054569924808,42.4509893041924,39989,56.17897074273851,-116.663042818956,43.3503266341158,500,169,19.946800320620824,43.517396999999995,-116.57284,18.76738385696282,105.14094243251193,269.30578117248695,288.07316502944974,18.419732089229406
211293,47.09,-117.06,-8,814,-8,234881,NWPP,Northwest,-117.05652073642712,47.10798608602345,8559,68.54559602620846,-117.033889088605,47.3458266220103,230,3397,38.53992731836798,47.692468,-117.033613,98.71535286518919,28.51023194156502,73.02550373619017,171.74085660137936,9.058635632513168
211297,46.53,-117.06,-8,805,-8,228102,NWPP,Northwest,-117.05451635536123,46.515970378929175,33891,66.92147450874013,-117.025975019885,46.431044212254,230,3431,0.6728976248323104,46.42499118752753,-117.02587339086004,1.7235457121843394,11.306037861036746,28.959045712250525,30.682591424434865,1.9679292759403733
211477,48.29,-117.06,-8,1205,-8,249692,NWPP,Northwest,-117.06055841261421,48.29240626707672,2130,62.22731875610218,-116.867175684082,47.8043043372634,230,6734,4.456876820234753,47.773317999999996,-116.829442,11.415749810624883,55.88584714165277,143.14482420232787,154.56057401295274,9.853205403536073
211599,47.69,-117.06,-8,652,-8,242228,NWPP,Northwest,-117.05853368369041,47.70022851823599,34185,31.371225266281833,-116.921263527613,47.7857006271081,230,6612,4.59932608722678,47.745802,-116.937461,11.780616343463507,14.882758984988964,38.12038337992807,49.90099972339158,3.0033592012190513
211608,43.29,-117.06,-7,1192,-7,189007,NWPP,Northwest,-117.06621863720886,43.29300595902813,39711,41.15411597403767,-116.663042818956,43.3503266341158,500,169,19.946800320620824,43.517396999999995,-116.57284,18.76738385696282,32.889795344292196,84.24322459809837,103.01060845506119,6.321777371478489
211613,44.73,-117.06,-8,847,-8,206464,NWPP,Northwest,-117.06141768822944,44.73486623571572,9932,0.13996657908169288,-116.734129822171,44.5911750321636,230,3307,93.47604631921968,43.750049,-116.71401399999999,239.42756353997427,30.09910712286411,77.0952149446472,316.5227784846215,15.432373190471516
211658,43.89,-117.06,-7,741,-7,196320,NWPP,Northwest,-117.0493778048944,43.89332515307169,39757,6.958731498684665,-116.820238198447,43.9042189298241,230,6560,19.142458228087005,43.750049,-116.71401399999999,49.031086724238605,19.328252430154354,49.506976054954684,98.5380627791933,5.364603611314432
211996,43.65,-117.02,-7,709,-7,193408,NWPP,Northwest,-117.0206560121471,43.65198807275628,39755,104.35927345555908,-116.686125172115,43.6790783208795,230,3332,0.0,43.6790783208795,-116.686125172115,0.0,27.122337732478034,69.47058092956938,69.47058092956938,4.541447810183844
212149,43.05,-117.02,-7,1464,-7,186059,NWPP,Northwest,-117.0376860494362,43.05168339709729,9944,79.7586562106552,-116.663042818956,43.3503266341158,500,169,19.946800320620824,43.517396999999995,-116.57284,18.76738385696282,44.2145696986996,113.25026156729294,132.01764542425576,8.218032487830904
212165,48.65,-117.02,-8,1179,-8,254228,NWPP,Northwest,-117.02453264565621,48.64590141508229,33938,106.49092764958164,-116.867175684082,47.8043043372634,230,6734,4.456876820234753,47.773317999999996,-116.829442,11.415749810624883,94.71985755303804,242.61343526800806,254.02918507863293,16.355691777793343
212179,47.45,-117.02,-8,796,-8,239277,NWPP,Northwest,-117.02105746367832,47.46156424772321,34187,117.85751203609313,-117.032674722648,47.3465806887833,230,3398,38.4561513087739,47.692468,-117.033613,98.50077077009593,11.537756112303837,29.552563929090386,128.0533346991863,6.2073979226133185
212199,46.29,-117.02,-8,493,-8,225211,NWPP,Northwest,-117.01785318150287,46.277448987916486,33898,55.38428494102269,-116.915376670825,46.3568995479058,230,3407,0.6362561068507118,46.362379999999995,-116.917762,1.629692904751934,10.964352865494561,28.083861007695777,29.71355391244771,1.906642754286878
212286,42.21,-117.02,-8,1611,-8,175709,NWPP,Northwest,-117.02652870635498,42.20949744983857,40046,97.67395898717348,-116.663042818956,43.3503266341158,500,169,19.946800320620824,43.517396999999995,-116.57284,18.76738385696282,130.00087501366656,332.98148550584455,351.74886936280734,22.582355809042788
212322,48.05,-117.02,-8,732,-8,246705,NWPP,Northwest,-117.02266265620085,48.053777628204834,34154,115.9561100015437,-116.867175684082,47.8043043372634,230,6734,4.456876820234753,47.773317999999996,-116.829442,11.415749810624883,29.60974681290516,75.84177782016168,87.25752763078657,5.4534541919999615
212348,46.85,-117.02,-8,874,-8,231971,NWPP,Northwest,-117.0194982129404,46.86932756830594,33834,117.43677069343477,-116.940253452782,46.7224653480529,230,3396,32.005798715378596,46.435046,-116.964835,81.97897437172978,15.429988569969444,39.522045638742796,121.50102001047257,6.141987600652163
