Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,km2,lon_station,lat_station,voltage,objectid,km_urban_fromstation,lat_urban_fromstation,lon_urban_fromstation,cost_trunk_upfront,km_site_spur,cost_spur_upfront,cost_trans_upfront,cost_trans_annual
1277077,42.81,-72.58,-5,189,-5,1290060,NEWE,Northeast,-72.58352851220017,42.79604361047164,18218,26.906803360208613,-72.5068243753385,42.7960058907313,345,25261,61.612937405984745,42.852376,-71.757261,100.40366226227152,6.184416173731688,15.840632490351023,116.24429475262255,5.393614245075303
1279563,43.05,-72.5,-5,288,-5,1292546,NEWE,Northeast,-72.51896563089215,43.034696927480354,4576,18.100956320357334,-72.482983019426,42.7979176700848,345,16680,59.65097843462012,42.852376,-71.757261,97.20647877732713,28.0385825062768,71.81743087065175,169.02390964797888,8.914167682550111
1280534,42.93,-72.46,-5,263,-5,1293517,NEWE,Northeast,-72.46308311964084,42.91161976339953,18214,178.12497576489469,-72.482983019426,42.7979176700848,345,16680,59.65097843462012,42.852376,-71.757261,97.20647877732713,14.79275522926633,37.88984966791669,135.09632844524384,6.696245544915978
1280612,43.29,-72.46,-5,224,-5,1293595,NEWE,Northeast,-72.45376137797203,43.273452705448115,18333,40.329558577405614,-71.5798312830719,43.0644107942405,230,32394,3.80643217206806,43.030716,-71.588306,9.749714676914413,75.8243467457329,194.21487443257703,203.96458910949144,13.119454042488657
1282940,42.77,-72.42,-5,226,-5,1295923,NEWE,Northeast,-72.40742337764208,42.78851552799078,4357,181.37360482557963,-72.482983019426,42.7979176700848,345,16680,59.65097843462012,42.852376,-71.757261,97.20647877732713,6.0148481948348085,15.406304663700848,112.61278344102799,5.226445741052457
1283139,43.53,-72.38,-5,176,-5,1296122,NEWE,Northeast,-72.38804372938044,43.51216869968234,1143,87.11688675226615,-71.5798312830719,43.0644107942405,230,32394,3.80643217206806,43.030716,-71.588306,9.749714676914413,83.01534747277215,212.63375126022467,222.38346593713908,14.323537364028326
1284000,43.17,-72.38,-5,238,-5,1296983,NEWE,Northeast,-72.39786099188265,43.15027387992375,18331,150.05412358943494,-72.482983019426,42.7979176700848,345,16680,59.65097843462012,42.852376,-71.757261,97.20647877732713,42.180290298866296,108.03970143514599,205.24618021247312,11.282098814460237
1284765,43.77,-72.34,-5,413,-5,1297748,NEWE,Northeast,-72.3218852437906,43.75078896312275,18069,7.113326245690403,-71.4700743446155,43.1406079742476,230,43504,0.4736263073960763,43.14444067515808,-71.46752478957025,1.2131363838498308,99.2312911531141,254.1689256580257,255.38206204187554,16.66825003837233
1284855,43.37,-72.34,-5,185,-5,1297838,NEWE,Northeast,-72.33205713880169,43.38895926333664,18055,184.5126839166524,-71.5798312830719,43.0644107942405,230,32394,3.80643217206806,43.030716,-71.588306,9.749714676914413,70.4811870643295,180.52901848874896,190.27873316566337,12.22477891994143
1285436,42.65,-72.34,-5,280,-5,1298419,NEWE,Northeast,-72.35314119931276,42.66657413392867,17339,12.555098027219314,-72.482983019426,42.7979176700848,345,16680,59.65097843462012,42.852376,-71.757261,97.20647877732713,20.17799341996984,51.68348461348725,148.8899633908144,7.597966422729646
1285453,43.01,-72.34,-5,309,-5,1298436,NEWE,Northeast,-72.34218699798319,43.027068793583666,18213,191.5518057800913,-72.482983019426,42.7979176700848,345,16680,59.65097843462012,42.852376,-71.757261,97.20647877732713,26.2953864231172,67.35244537545849,164.5589241527856,8.622281558548849
1285781,42.89,-72.3,-5,184,-5,1298764,NEWE,Northeast,-72.28666455425612,42.903905791119946,17335,166.0293261865501,-72.482983019426,42.7979176700848,345,16680,59.65097843462012,42.852376,-71.757261,97.20647877732713,18.121574803105855,46.41621756014427,143.6226963374714,7.253633352457648
1287002,43.25,-72.26,-5,460,-5,1299985,NEWE,Northeast,-72.2762977260993,43.26572262738823,4536,193.2554452805473,-71.5798312830719,43.0644107942405,230,32394,3.80643217206806,43.030716,-71.588306,9.749714676914413,59.03716235867685,151.21653619773974,160.96625087465415,10.308556157294356
1287161,43.61,-72.26,-5,300,-5,1300144,NEWE,Northeast,-72.26581256198676,43.62754679458416,18068,138.19228073214632,-71.4700743446155,43.1406079742476,230,43504,0.4736263073960763,43.14444067515808,-71.46752478957025,1.2131363838498308,82.56962584380332,211.49208932817595,212.7052257120258,13.878369454355571
1288435,43.49,-72.22,-5,576,-5,1301418,NEWE,Northeast,-72.20996505067309,43.50427234829646,18057,192.92346185920243,-71.4700743446155,43.1406079742476,230,43504,0.4736263073960763,43.14444067515808,-71.46752478957025,1.2131363838498308,72.16455794429639,184.84076897665705,186.0539053605069,12.136112820981195
1288904,42.77,-72.22,-5,401,-5,1301887,NEWE,Northeast,-72.23251829456869,42.78190855713752,17336,178.36074745635096,-72.482983019426,42.7979176700848,345,16680,59.65097843462012,42.852376,-71.757261,97.20647877732713,21.74119244210608,55.6874294521469,152.89390822947405,7.859713284153804
1289186,43.13,-72.22,-5,426,-5,1302169,NEWE,Northeast,-72.22076364796992,43.142459018461636,18052,193.24958097122916,-71.5690065093381,43.0159558122696,230,33949,0.0,43.0159558122696,-71.5690065093381,0.0,54.51237264583597,139.62683574360872,139.62683574360872,9.12771966127046
1289894,43.85,-72.18,-5,199,-5,1302877,NEWE,Northeast,-72.19903831258817,43.8660973804457,18072,50.728975947811634,-71.4700743446155,43.1406079742476,230,43504,0.4736263073960763,43.14444067515808,-71.46752478957025,1.2131363838498308,97.51312398136807,249.7680486859651,250.98118506981496,16.380554832427304
1290372,42.65,-72.18,-5,296,-5,1303355,NEWE,Northeast,-72.17858511092585,42.65988471148917,17342,10.863687649536269,-72.482983019426,42.7979176700848,345,16680,59.65097843462012,42.852376,-71.757261,97.20647877732713,29.762851432632054,76.23393674762359,173.4404155249507,9.202884585090086
1290628,43.01,-72.18,-5,403,-5,1303611,NEWE,Northeast,-72.16545307888795,43.01916866090533,75,191.07535749676362,-71.5690065093381,43.0159558122696,230,33949,0.0,43.0159558122696,-71.5690065093381,0.0,49.81479812764084,127.59456795172981,127.59456795172981,8.341143307887535
1291105,44.09,-72.14,-5,356,-5,1304088,NEWE,Northeast,-72.131736780722,44.10463063338428,18084,1.0424748431159063,-71.9932987016884,44.3194191242705,450,47428,135.22233153816666,43.160166,-71.482142,220.35659843018968,28.059684783250592,71.87148179556706,292.22808022575674,14.26310023113762
1291548,43.73,-72.14,-5,488,-5,1304531,NEWE,Northeast,-72.14311151477649,43.74279415826032,4540,185.3156031653338,-71.4700743446155,43.1406079742476,230,43504,0.4736263073960763,43.14444067515808,-71.46752478957025,1.2131363838498308,85.02759562522733,217.78788102235495,219.0010174062048,14.289939489042483
1291577,43.37,-72.14,-5,318,-5,1304560,NEWE,Northeast,-72.15434787969244,43.38097620090866,18056,191.2985378080038,-71.5798312830719,43.0644107942405,230,32394,3.80643217206806,43.030716,-71.588306,9.749714676914413,56.78237243512352,145.44116508451094,155.19087976142535,9.931007184128823
1292226,43.61,-72.1,-5,311,-5,1305209,NEWE,Northeast,-72.08740860062603,43.61946040043471,18076,187.11542806445138,-71.4700743446155,43.1406079742476,230,43504,0.4736263073960763,43.14444067515808,-71.46752478957025,1.2131363838498308,72.97745320257836,186.92290165949424,188.1360380433441,12.272226508047808
1292613,43.25,-72.1,-5,603,-5,1305596,NEWE,Northeast,-72.09895498070749,43.25765236760761,18051,193.19813031987343,-71.5798312830719,43.0644107942405,230,32394,3.80643217206806,43.030716,-71.588306,9.749714676914413,47.063366797244356,120.54711006680074,130.29682474371515,8.30362693001243
1292850,42.89,-72.1,-5,452,-5,1305833,NEWE,Northeast,-72.11144548411994,42.89711471303122,17337,187.6739462442875,-71.5690065093381,43.0159558122696,230,33949,0.0,43.0159558122696,-71.5690065093381,0.0,45.53391424254098,116.62960271446714,116.62960271446714,7.624338918184885
1293664,44.33,-72.06,-5,300,-5,1306647,NEWE,Northeast,-72.06389934965196,44.34314469597931,18086,17.086881710347072,-71.9932987016884,44.3194191242705,450,47428,135.22233153816666,43.160166,-71.482142,220.35659843018968,5.448950710370152,13.956826842868853,234.31342527305853,10.47708924068491
1293731,42.77,-72.06,-5,336,-5,1306714,NEWE,Northeast,-72.05765128860367,42.77503547994557,4359,176.4065830786282,-71.5690065093381,43.0159558122696,230,33949,0.0,43.0159558122696,-71.5690065093381,0.0,48.528397829488,124.29960949711123,124.29960949711123,8.125744477790736
1294292,43.13,-72.06,-5,439,-5,1307275,NEWE,Northeast,-72.04378592182398,43.134303142294605,17248,191.93280353017255,-71.5690065093381,43.0159558122696,230,33949,0.0,43.0159558122696,-71.5690065093381,0.0,41.94767075738071,107.443874672646,107.443874672646,7.02384725765356
1294472,43.97,-72.06,-5,277,-5,1307455,NEWE,Northeast,-72.07571709418514,43.98127331180583,18071,136.3519472594123,-71.9932987016884,44.3194191242705,450,47428,135.22233153816666,43.160166,-71.482142,220.35659843018968,39.190799657612715,100.38248347776077,320.73908190795044,16.12692840736976
1295196,44.21,-72.02,-5,373,-5,1308179,NEWE,Northeast,-72.00779454224023,44.21975458168503,4543,159.92288723637586,-71.9932987016884,44.3194191242705,450,47428,135.22233153816666,43.160166,-71.482142,220.35659843018968,12.343891300932441,31.61738151281717,251.97397994300684,11.631599340633286
1295299,43.85,-72.02,-5,627,-5,1308282,NEWE,Northeast,-72.01993741447698,43.85790975786102,18073,182.03588190913175,-71.4700743446155,43.1406079742476,230,43504,0.4736263073960763,43.14444067515808,-71.46752478957025,1.2131363838498308,90.49951787710745,231.80354668469747,233.0166830685473,15.206175013185362
1295419,43.49,-72.02,-5,497,-5,1308402,NEWE,Northeast,-72.03193376715795,43.496099707614746,4535,191.8447375763063,-71.4700743446155,43.1406079742476,230,43504,0.4736263073960763,43.14444067515808,-71.46752478957025,1.2131363838498308,59.13476652814724,151.4665374484113,152.67967383226113,9.95436439362628
1295509,42.65,-72.02,-5,355,-5,1308492,NEWE,Northeast,-72.0040687880662,42.65293116875744,17341,7.591661836981722,-71.440179622889,42.8729089682834,230,32173,0.2863063370225199,42.87034186753969,-71.43986910073718,0.7333389825374133,53.53286398054926,137.11794301193498,137.8512819944724,8.99553869640545
1296268,43.37,-71.98,-5,399,-5,1309251,NEWE,Northeast,-71.97668471540294,43.372717213072356,18054,180.51202981151454,-71.4700743446155,43.1406079742476,230,43504,0.4736263073960763,43.14444067515808,-71.46752478957025,1.2131363838498308,48.621286895814414,124.53753358254042,125.75066996639025,8.193954965625696
1296276,43.73,-71.98,-5,509,-5,1309259,NEWE,Northeast,-71.96438030986798,43.73451740804463,18075,193.22761305822442,-71.4700743446155,43.1406079742476,230,43504,0.4736263073960763,43.14444067515808,-71.46752478957025,1.2131363838498308,77.41003788736509,198.27643010932644,199.48956649317628,13.014432147131558
1296586,43.01,-71.98,-5,342,-5,1309569,NEWE,Northeast,-71.98984854657866,43.01225922704688,17246,185.2651308597827,-71.5690065093381,43.0159558122696,230,33949,0.0,43.0159558122696,-71.5690065093381,0.0,33.51225169602731,85.83757110262395,85.83757110262395,5.611394695413956
1297986,43.25,-71.94,-5,248,-5,1310969,NEWE,Northeast,-71.92166003517706,43.24930823177391,4333,191.93842129520775,-71.5798312830719,43.0644107942405,230,32394,3.80643217206806,43.030716,-71.588306,9.749714676914413,35.822001722728174,91.75371585901243,101.50343053592684,6.421338120519227
1298024,42.89,-71.94,-5,241,-5,1311007,NEWE,Northeast,-71.93619471236978,42.890122871191714,17390,190.43850322707803,-71.5690065093381,43.0159558122696,230,33949,0.0,43.0159558122696,-71.5690065093381,0.0,33.351469295219495,85.42574646945472,85.42574646945472,5.584472794755284
1298607,44.09,-71.94,-5,358,-5,1311590,NEWE,Northeast,-71.95192442637722,44.0963371231424,18083,147.8927416853691,-71.9932987016884,44.3194191242705,450,47428,135.22233153816666,43.160166,-71.482142,220.35659843018968,25.84570838251086,66.20064957450933,286.557248004699,13.892385200003043
1299215,43.61,-71.9,-5,579,-5,1312198,NEWE,Northeast,-71.90905182319476,43.611097032625466,18074,193.2217042117424,-71.4700743446155,43.1406079742476,230,43504,0.4736263073960763,43.14444067515808,-71.46752478957025,1.2131363838498308,62.717905260572095,160.64431304239042,161.85744942624027,10.554336184791977
