,AK,AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,KY,MA,MD,ME,MI,MN,MO,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2006-01-01,104.688072,467.956312,63.508078999999995,572.1580900000001,4350.681426,101.14712800000002,38.915107,19.545938000000003,240.594406,12.107835000000001,87.469305,684.507691,3.0313100000000004,213.028524,100.144448,328.86661300000003,263.370584,95.85318900000003,27.565951000000002,2.7885500000000003,587.1580569999999,486.10196199999996,137.379,18.769853,138.71641900000003,3.738892,10.134904,96.59371199999998,2229.5747149999993,43.39181,13.225239000000002,1016.7518800000003,46.55350400000001,189.818328,204.737,649.648113,52.73041800000001,58.647988,91.415811,96.085566,6114.958160999999,126.70746200000002,21.849,24.029
2006-02-01,92.17106799999999,402.231152,72.846476,557.356769,3667.544504999999,86.836597,35.205546999999996,17.624658,218.750043,9.370773000000002,71.052428,836.0681889999996,2.733346,230.676373,90.36794500000003,219.21881299999998,252.02640900000003,86.35013799999997,24.703512999999997,12.223408,672.7348009999998,321.82446100000004,106.325,16.924861,101.88648599999999,3.320477,8.891753000000001,121.58475900000002,2099.094999,44.26686,12.349002,838.4504110000001,41.977498999999995,109.678161,191.946,567.69264,47.424929999999996,52.947991,76.07948400000001,86.640778,5425.273937999999,112.54930199999997,24.529,20.428
2006-03-01,102.098403,319.83451700000006,72.250061,523.645225,4684.497379000001,100.36585,31.084839999999996,15.527573,222.82983399999998,13.691655,94.98577100000001,816.7826630000002,2.408116,158.17958000000002,79.73441600000001,137.329385,232.68273799999997,76.00718499999998,22.385689,8.639671,624.2208569999999,187.09586099999999,111.224,14.911041,86.02581899999998,2.8823980000000002,9.556754000000002,190.963404,2278.5232320000005,55.698445,12.779988999999999,857.4160619999997,36.98277100000001,109.27243000000001,288.581,349.940695,45.049476,57.38567400000001,65.077681,76.331749,4866.831257000001,98.21886699999999,23.668,27.903
2006-04-01,99.767904,289.160427,67.55779,613.513612,5228.347284999997,120.54225200000002,33.856761,16.901253,172.689233,12.471855,82.916186,1186.1873089999995,2.621155,224.728141,85.87945400000001,149.47650399999998,202.99420999999998,82.63565499999999,22.179147999999998,2.301779,907.1635130000001,157.25581999999997,102.504,16.230179,111.98232599999999,3.077359,11.537423,199.552502,1977.5327659999994,47.87891200000001,21.674219,948.5060930000002,40.254531,76.08562600000002,216.411,383.168227,54.391819000000005,62.36423399999998,68.610082,83.08460699999999,6581.589978999999,104.35901500000003,25.583,97.758
2006-05-01,99.13246199999999,302.370688,118.111877,621.6524469999999,5671.374980999996,114.22006200000001,41.79740199999999,19.982905000000002,223.80266899999998,13.037915,91.907613,1219.5693020000003,3.0990780000000004,160.71954,101.18521999999999,128.969459,239.496578,97.62475099999999,25.672044999999997,46.358254,1175.5774300000003,186.005678,120.753,19.18947,121.83658199999998,3.347413,12.450417999999999,234.059925,2057.613947,65.301796,103.798203,981.872059,47.59425,71.93153300000002,292.923,378.383401,72.849636,99.22967299999999,82.44143399999999,98.23364699999999,6977.397784,121.48451500000002,24.712,137.187
2006-06-01,102.11206200000002,210.290222,96.624485,705.588524,5102.983666000001,147.465057,40.399505000000005,19.634505,207.334587,9.174756,94.236233,1171.651491,3.045046,159.430999,100.143144,156.440487,251.06721699999997,95.92183499999999,24.88762299999999,11.285422,1308.8800430000001,194.11324399999998,157.642,18.854906000000003,135.855048,3.2890509999999997,12.859512,227.078123,1891.9580569999998,59.423502,36.632512000000006,851.5386950000002,46.764451,79.000648,381.329,381.168707,77.83289399999998,65.59969500000001,75.565585,96.52095900000002,7912.948403,119.13754100000003,19.902,110.001
2006-07-01,96.075017,214.889268,114.69649499999998,682.610061,4504.227604999997,161.94013899999993,42.298469,20.589464,217.85323799999998,9.285525,57.82635499999999,1065.2178069999998,3.1931469999999997,173.249761,104.219353,179.64138200000002,235.92784100000006,100.63982900000002,25.512173999999995,15.59886,976.678828,285.418125,169.105,19.771946,87.13899100000002,3.44902,10.507837,206.585694,2123.594040000001,62.622287,21.892343,629.989768,49.03892200000001,83.512792,458.965,446.597737,73.518907,50.033351,109.68983200000001,101.215423,6220.513574999999,125.50106799999996,24.581,152.546
2006-08-01,99.381616,250.78394300000002,122.695523,627.853176,3734.6589349999995,150.14824100000004,41.522141000000005,20.440681,217.421462,8.354928,56.25107799999999,880.8412900000002,3.1700730000000004,196.157366,102.71317400000001,73.318155,227.31210299999998,99.835786,25.31439,2.2712760000000003,719.869248,252.42127600000003,175.454,19.629071,85.96413000000001,3.424097,8.615954000000002,165.29358899999997,2064.3707430000004,57.293783000000005,27.905212,530.7284709999999,48.684557,88.550776,506.14,575.176008,77.87448899999998,43.00276099999999,88.574474,100.484023,4969.146075999999,123.02087600000004,15.763,104.109
2006-09-01,94.13657200000002,220.758225,62.521764,458.549977,2693.0488809999997,111.57896200000003,27.235350000000004,13.268421,170.617037,7.47079,57.136098,559.8958069999996,2.057752,187.632322,66.82759599999999,150.678549,178.436485,64.97667899999999,17.356731,1.9068710000000002,532.7346959999999,233.878815,135.059,12.74159,41.70289100000001,2.2226440000000003,6.316345,121.240749,1828.1002310000003,56.832375000000006,11.364154000000001,506.4511949999999,31.602039000000005,73.592648,312.589,506.571369,44.63283199999999,36.831107,51.026758,65.22601700000001,3447.486807,84.07641400000001,25.244,31.563
2006-10-01,107.85944600000002,235.522462,61.479955,440.84113299999996,2234.937248,80.01793299999996,25.332697000000007,11.697052,180.68823999999998,9.091332,56.234685,411.6147149999999,1.814054,170.863061,59.794512000000005,156.905855,169.51536499999997,57.485141,16.00655,1.7817290000000001,463.653228,312.026387,93.434,11.232612000000001,90.826184,1.9594179999999999,5.973647,134.624982,2011.5140099999994,41.677898,13.903481,501.2450930000001,27.859433000000003,66.42696599999998,149.173,581.8270640000001,34.188477999999996,36.333255,70.550894,57.501352000000004,3773.9264949999992,78.993681,23.548,16.482
