row_full,col_full,latitude,longitude,rowf_colf,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
576,622,32.480801,-114.81451399999999,576_622,AZ,4.644712704124943,0.27419143509390387,7.295762201382727,5.3028868072822055,42.278230857472956,53.62197629638558,0.9970434390703795,0.27338077140966865,53.7809830496267,0,0,1,1,1,2,2,2,2,3
578,622,32.516148,-114.824554,578_622,AZ,3.4435515770588614,0.27490826031437793,6.976552478621461,5.3028868072822055,40.371853360673924,53.349605248080515,0.9971618961706068,0.27412804212804787,53.501447912278444,0,0,0,1,1,1,2,2,2,3
574,624,32.453911,-114.762619,574_624,AZ,1.211063465105265,0.2819536697104768,7.120330488440912,5.3028868072822055,41.23052132380281,52.07472630913099,0.9971085408843945,0.281138412202014,52.225734886337285,0,0,0,1,1,1,2,2,2,3
576,624,32.489258,-114.77261399999999,576_624,AZ,6.018206985855861,0.2736488649956071,6.722625888322573,5.3028868072822055,38.855358394927684,53.489204545966274,0.997256127033305,0.2728980072725789,53.63637594796136,0,0,0,1,1,1,2,2,2,3
578,624,32.524597,-114.78263899999999,578_624,AZ,15.660033519184072,0.2692449164182269,6.373757372228185,5.3028868072822055,36.7718532852747,54.21619518259252,0.9973855903604859,0.2685409999133529,54.358310072433596,0,0,1,1,1,2,2,2,2,3
580,624,32.559956,-114.79266399999999,580_624,AZ,13.23555192442808,0.2716613277654174,6.081741040745124,5.3028868072822055,35.02787957976994,53.611236691627234,0.9974939561318893,0.27098053256076804,53.74592634076945,0,0,1,1,1,2,2,2,2,3
582,624,32.59531,-114.80268899999999,582_624,AZ,9.21932360344836,0.2728504360692391,5.8557730724905666,5.3028868072822055,33.67835850017531,53.283053243639316,0.9975778116925288,0.2721895409333038,53.41242820270554,0,0,0,1,1,1,2,2,2,3
584,624,32.630676,-114.812744,584_624,AZ,0.8845899869361997,0.2782944237707627,5.704291466841338,5.3028868072822055,32.773683286367195,52.17859450842803,0.9976340257438671,0.27763598632849573,52.30234049958553,0,0,0,1,1,1,2,2,2,3
574,626,32.462345,-114.72073400000001,574_626,AZ,9.3951700850866,0.2918537234281317,6.603923394594783,5.3028868072822055,38.14644589408313,50.10629786993266,0.9973001769233745,0.29106577001062134,50.24194222496611,0,0,0,1,1,1,1,2,2,2
576,626,32.497684,-114.730713,576_626,AZ,16.15575342573925,0.2821875382219267,6.171847167884697,5.3028868072822055,35.566009470102465,51.64787191596138,0.9974605182076265,0.2814709281065774,51.7793646697609,0,0,0,1,1,1,2,2,2,2
578,626,32.533039,-114.740707,578_626,AZ,16.251814946586126,0.27363000949962596,5.788039826239197,5.3028868072822055,33.27384345181843,53.10299200538118,0.9976029471547901,0.2729741039068201,53.230588539091,0,0,0,1,1,1,2,2,2,3
580,626,32.568397999999995,-114.750702,580_626,AZ,16.33119436850888,0.27434542121717065,5.463202884071834,5.3028868072822055,31.3338591953238,52.82935031273899,0.9977234924874416,0.27372087180473376,52.94989113770312,0,0,0,1,1,1,2,2,2,3
582,626,32.60376,-114.760727,582_626,AZ,16.332661454814698,0.27383391928268475,5.209283369536276,5.3028868072822055,29.817406487300392,52.82217833392025,0.9978177207243601,0.2732363371956669,52.93770318648408,0,0,0,1,1,1,2,2,2,3
584,626,32.639117999999996,-114.770752,584_626,AZ,8.966952573220324,0.27267643820739057,5.037188327879541,5.3028868072822055,28.78962415070014,52.9743554686576,0.9978815843166775,0.2720987961642195,53.086815411001915,0,0,0,1,1,1,2,2,2,3
572,628,32.435394,-114.668884,572_628,AZ,3.6620595757082732,0.30239877819965855,6.6278380758208275,5.3028868072822055,38.289268643146315,48.36805120066704,0.9972913023071304,0.30157967132682256,48.49942147171298,0,0,0,0,1,1,1,1,1,2
574,628,32.470753,-114.67883300000001,574_628,AZ,16.008765503646185,0.29351684993675076,6.1203690593317095,5.3028868072822055,35.25857300834848,49.63432026848101,0.9974796214711851,0.2927770763703248,49.75973363272849,0,0,0,1,1,1,1,2,2,2
576,628,32.5061,-114.688782,576_628,AZ,16.32212934712341,0.28427097867134904,5.649581593377025,5.3028868072822055,32.446946147150754,51.05961410618284,0.9976543282989031,0.2836041722812365,51.17966479757013,0,0,0,1,1,1,1,2,2,2
578,628,32.541466,-114.698761,578_628,AZ,16.32525650615689,0.2787886152457614,5.225606815522268,5.3028868072822055,29.91489302320137,51.89009426568492,0.9978116631768003,0.2781785318531302,52.00389630692323,0,0,0,1,1,1,2,2,2,3
580,628,32.57682,-114.70873999999999,580_628,AZ,13.615630314302102,0.2778632104339273,4.86151698670131,5.3028868072822055,27.740483514388288,51.913330796576375,0.9979467750555091,0.27729269475910806,52.020139845322696,0,0,0,1,1,1,2,2,2,3
582,628,32.612194,-114.71873500000001,582_628,AZ,12.832922016332025,0.278687282557791,4.572115716758182,5.3028868072822055,26.01212742362703,51.641280336571285,0.9980541703909113,0.2781450045917136,51.74196137705108,0,0,0,1,1,1,2,2,2,2
584,628,32.647568,-114.72874499999999,584_628,AZ,15.802082396370096,0.28077957999026926,4.373381937920114,5.3028868072822055,24.825253789097818,51.17566448695645,0.9981279194827457,0.2802539380089266,51.27164914240345,0,0,0,1,1,1,1,2,2,2
586,628,32.682934,-114.738754,586_628,AZ,9.583122860112184,0.28489346256460063,4.278469190243902,5.3028868072822055,24.25841790213262,50.398653105517546,0.9981631411193772,0.2843701534778575,50.491398679577195,0,0,0,1,1,1,1,2,2,2
588,628,32.718303999999996,-114.748779,588_628,AZ,0.2305249196891512,0.31606755694248,4.294790085058787,5.3028868072822055,24.355889201983942,45.43367261918265,0.9981570845185439,0.3154850711486047,45.51755763081856,0,0,0,0,0,1,1,1,1,1
570,630,32.408436,-114.617065,570_630,AZ,0.403233741545171,0.3039397079068965,6.792345669413353,5.3028868072822055,39.271737384275156,48.18461889529632,0.9972302543780955,0.30309787223159845,48.318448707059915,0,0,0,0,1,1,1,1,1,2
572,630,32.443783,-114.62698400000001,572_630,AZ,12.94382514185258,0.29340527690194007,6.223360694541467,5.3028868072822055,35.873657455100286,49.69326565592799,0.9974414018005902,0.29265457068876144,49.82073690366296,0,0,0,1,1,1,1,2,2,2
574,630,32.479141,-114.636917,574_630,AZ,16.31717249628005,0.28770625100570696,5.678332769553157,5.3028868072822055,32.618653308181294,50.46135952741269,0.9976436588840479,0.2870283169371458,50.58054454418941,0,0,0,1,1,1,1,2,2,2
576,630,32.5145,-114.646851,576_630,AZ,16.321411750516422,0.2922521677676451,5.165341904571078,5.3028868072822055,29.554980207607503,49.47606746497659,0.9978340271779182,0.29161915751506595,49.58346390020911,0,0,0,0,1,1,1,2,2,2
578,630,32.54987,-114.656815,578_630,AZ,15.439635981891932,0.29103505051286516,4.695528588430606,5.3028868072822055,26.749171143149372,49.49869882262582,0.9980083725036082,0.29045541710385,49.597478524607126,0,0,0,0,1,1,1,2,2,2
580,630,32.585236,-114.666779,580_630,AZ,10.723894310856814,0.2876101983135269,4.283915164364541,5.3028868072822055,24.29094223260078,49.92475427701543,0.9981611201461541,0.28708131771408757,50.01672903238836,0,0,0,1,1,1,1,2,2,2
582,630,32.620609,-114.67674299999999,582_630,AZ,11.843570700913546,0.29217328328323894,3.9496295569376834,5.3028868072822055,22.294528859005112,49.01443369486625,0.9982851718302976,0.2916722563066304,49.0986294076683,0,0,0,0,1,1,1,1,2,2
584,630,32.655983,-114.68673700000001,584_630,AZ,13.233380070449336,0.2951231755952607,3.715443643101306,5.3028868072822055,20.89592874011436,48.433927427959766,0.9983720770286331,0.2946427377983264,48.512902696667375,0,0,0,0,1,1,1,1,1,2
586,630,32.691349,-114.696716,586_630,AZ,12.132900077680828,0.2958381885710834,3.601639226941817,5.3028868072822055,20.216268433635975,48.272953422140006,0.998414309267096,0.2953690806970271,48.34962096804846,0,0,0,0,1,1,1,1,1,2
588,630,32.726738,-114.706726,588_630,AZ,9.72534328619995,0.31460776947396896,3.6208444342506825,5.3028868072822055,20.330965363034853,45.39994513335615,0.9984071823126054,0.31410665665415904,45.47237433548554,0,0,0,0,0,1,1,1,1,1
570,632,32.416794,-114.575195,570_632,AZ,7.276454389429147,0.28773440145302276,6.473009931997034,5.3028868072822055,37.364607305441396,50.771701498207435,0.9973487582417188,0.28697154799259644,50.906667380541656,0,0,0,1,1,1,1,2,2,2
572,632,32.452148,-114.58508300000001,572_632,AZ,16.312022916934247,0.28386577129308493,5.871671507707317,5.3028868072822055,33.773306795826684,51.22181211302174,0.9975719118642978,0.2831765201816763,51.34648590626073,0,0,0,1,1,1,1,2,2,2
574,632,32.487514000000004,-114.595001,574_632,AZ,16.318761539867403,0.2933690416847368,5.288702794328544,5.3028868072822055,30.291713481846212,49.33571101944257,0.9977882485808388,0.29272018229045266,49.44507122589696,0,0,0,0,1,1,1,2,2,2
