Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
491702,48.97,-104.18,-7,683,-7,504685,NWPP,Northwest,-104.19129123523857,48.960935679646866,33680,ND,0.02494216357450705,0.22037054782293122,44.02189270881196,222.22473574126502,115.35488024169355,67.39792890468924,0.9790237230179478,0.21574799417311083,68.84197728828038,0,1,2,3,4,5,6,7,8,9
492861,42.65,-104.14,-7,1467,-7,505844,RMPA,Rocky Mountains,-104.13362966838324,42.64095393090539,5888,NE,3.5730155474636764,0.25891386375519543,48.89311730905367,469.4749518446266,93.677681658232,59.51243459498081,0.9650072306968783,0.24985375065143,61.670454585095705,0,1,2,3,4,5,6,7,8,8
492975,42.85,-104.14,-7,1492,-7,505958,RMPA,Rocky Mountains,-104.14880181438221,42.84440966254266,23427,NE,0.1655950855934792,0.25934797383867286,52.56675821522544,469.4749518446266,115.61732151088144,61.02981854239788,0.9636439612912431,0.2499191088627564,63.33233122804033,0,1,2,3,4,5,6,7,8,9
493072,41.33,-104.14,-7,1631,-7,506055,RMPA,Rocky Mountains,-104.1298033472118,41.32034307856185,21376,NE,4.586674268724816,0.26521113530321955,42.345618578035854,470.6141734992324,54.093606922689325,55.28109897691209,0.9673960890537785,0.2565642150658471,57.14422417293746,0,1,2,3,3,4,5,6,6,7
493220,44.17,-104.14,-7,1831,-7,506203,RMPA,Rocky Mountains,-104.15088987318228,44.167159444116194,19177,SD,0.16687580587028775,0.25770281819489693,9.280891439806071,30.369308053130908,35.26267244298012,42.244981511422814,0.9959218076667384,0.25665185653747463,42.41797015208958,0,0,0,0,0,0,1,1,1,1
493275,45.09,-104.14,-7,1059,-7,506258,NWPP,Northwest,-104.12567580101968,45.0747475093631,19153,SD,1.9126908815846768,0.24458249403330845,16.48913972463373,49.58669223343258,65.55175128397259,47.87550404868912,0.992845611025799,0.24283265573471396,48.22049220646158,0,0,1,1,2,2,2,3,3,4
493283,41.53,-104.14,-7,1448,-7,506266,RMPA,Rocky Mountains,-104.14548500557358,41.522615985610884,21319,NE,0.2830503702866277,0.2583158804592704,38.86178205639169,470.6141734992324,33.287512766352584,55.217142523535536,0.9686889230202701,0.2502277320411235,57.00193448209802,0,1,2,3,3,4,5,6,6,7
493522,48.57,-104.14,-7,604,-7,506505,MROW,Upper Midwest,-104.12949147715572,48.585496293733904,33701,ND,3.925883085211975,0.22191274795246957,38.258161504733884,174.148630071764,154.91880453047364,63.96459177182406,0.9795526467618876,0.21737521960704523,65.29979984564602,0,1,2,3,4,5,6,7,8,9
493707,47.49,-104.14,-7,677,-7,506690,NWPP,Northwest,-104.12752811596762,47.48954558836839,33670,ND,1.6201229607785248,0.22746211817774747,25.00482917236433,174.148630071764,75.767535899084,55.752671928296216,0.9844708908017666,0.22392983410610376,56.63211827714934,0,1,2,2,3,4,5,6,6,7
493723,46.41,-104.14,-7,952,-7,506706,MROW,Upper Midwest,-104.12323439447069,46.3957045421375,33354,ND,4.502715776250647,0.23468845716654677,32.1980711311056,220.81931416295163,45.6740704126346,57.53485857900167,0.9834408276327199,0.23080221055171488,58.503630276867966,0,1,2,3,4,4,5,6,7,8
493730,43.97,-104.14,-7,1706,-7,506713,RMPA,Rocky Mountains,-104.13397977764495,43.96639309545733,19135,SD,3.9759138107561482,0.2655672622590438,11.741508814596214,30.369308053130908,49.957919038087475,42.05165610200173,0.9950086851074839,0.2642417324279655,42.26260205704554,0,0,0,0,0,0,1,1,1,1
493841,46.65,-104.1,-7,955,-7,506824,MROW,Upper Midwest,-104.10475865381036,46.635329914365734,8367,ND,17.80905939397989,0.23424998876806613,29.90459105444181,174.148630071764,105.02978928806387,56.52488808514605,0.9826526141548816,0.23018636382869184,57.52275755533362,0,1,2,3,3,4,5,6,6,7
493928,42.25,-104.1,-7,1379,-7,506911,RMPA,Rocky Mountains,-104.10358256581402,42.234060095624145,96,NE,22.242479235894322,0.26334579614335907,41.506240372300546,469.4749518446266,49.56193279558885,55.30881374946659,0.9677484630568919,0.2548524894702293,57.152055374760224,0,1,2,3,3,4,5,6,6,7
493935,44.69,-104.1,-7,1086,-7,506918,RMPA,Rocky Mountains,-104.09164379469412,44.673267588443736,19169,SD,37.80296081552163,0.24625641231198142,9.867659337400463,49.58669223343258,26.007087366707406,44.48060184081438,0.9953028086296158,0.2450996988171678,44.69052177402931,0,0,0,0,1,1,1,2,2,2
493947,47.73,-104.1,-7,579,-7,506930,NWPP,Northwest,-104.10807343498631,47.72969800163066,33741,ND,13.38254339888553,0.223967855622622,26.19707239674048,174.148630071764,82.88782545041968,57.23018439385866,0.9840284554213414,0.22039074303235873,58.159074647240594,0,1,2,3,3,4,5,6,7,8
493974,43.77,-104.1,-7,1363,-7,506957,RMPA,Rocky Mountains,-104.11787926118343,43.7642665548376,23436,SD,12.998314896832133,0.25786931242754596,12.729527308642366,0.6744196102706768,75.57521350167339,43.74437026878569,0.9952620556804688,0.25664754198354844,43.952615312835675,0,0,0,0,1,1,1,1,2,2
