Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
678015,48.85,-97.26,-6,242,-6,690998,MROW,Upper Midwest,-97.2563757828898,48.846003628139236,2641,MN,9.931365243631802,0.21239263908806558,27.809378001106246,159.57214424481208,127.16321593549624,61.21575061446492,0.9821830464550494,0.20860844930414404,62.32621387164875,0,1,2,2,3,4,5,6,6,7
678980,48.61,-97.22,-6,245,-6,691963,MROW,Upper Midwest,-97.22466349124296,48.606649857490645,10560,MN,4.766694385367763,0.21375467613714214,28.419779523516816,159.57214424481208,130.8086428863716,61.15166976494386,0.9819565295629772,0.20989779995748623,62.27533289295362,0,1,2,2,3,4,5,6,6,7
679195,48.17,-97.22,-6,248,-6,692178,MROW,Upper Midwest,-97.20189576754292,48.166770995292616,18946,MN,11.131012005725779,0.21533850761427073,27.412993329359388,5.791166188395724,159.87010286185958,60.1681769719505,0.9897062603893363,0.2131218690887405,60.79397431343034,0,1,2,2,3,4,5,6,6,7
679978,48.37,-97.18,-6,242,-6,692961,MROW,Upper Midwest,-97.19325132428663,48.36728957952862,663,MN,25.278535992014035,0.21442698755947676,29.890518373582626,159.57214424481208,139.59215807250038,61.742918087545654,0.9814107458761161,0.21044094979671474,62.9124129188407,0,1,2,3,3,4,5,6,6,7
680184,48.97,-97.18,-6,240,-6,693167,MROW,Upper Midwest,-97.18181018260769,48.983142301631936,10604,MN,91.93953816707877,0.21119905710964226,26.628853729897447,159.57214424481208,120.11291406627431,60.92362323106743,0.9826211329917179,0.20752865678385923,62.00113267010401,0,1,2,2,3,4,5,6,6,7
680970,48.73,-97.14,-6,237,-6,693953,MROW,Upper Midwest,-97.1502727049924,48.743704510758974,10563,MN,77.00321169615759,0.21162714578945363,26.80754145278193,159.57214424481208,121.18006907306595,60.89677142273574,0.982554822889018,0.207935272749665,61.977988407486734,0,1,2,2,3,4,5,6,6,7
681491,48.25,-97.1,-6,241,-6,694474,MROW,Upper Midwest,-97.08827327663649,48.264934656203614,10571,MN,139.30527422099726,0.21398971175160614,28.586566715360927,5.791166188395724,166.87889280272498,61.173478353101004,0.9892707532907203,0.2116937633409755,61.83694216129702,0,1,2,2,3,4,5,6,6,7
681537,48.49,-97.1,-6,241,-6,694520,MROW,Upper Midwest,-97.11912702844212,48.50432290527432,10559,MN,126.07320383053741,0.21252478752620704,27.94500657426884,159.57214424481208,127.9732140068692,61.25053784132936,0.9821327153832203,0.20872754665935567,62.3648279727958,0,1,2,2,3,4,5,6,6,7
681585,48.05,-97.1,-6,248,-6,694568,MROW,Upper Midwest,-97.09731013601518,48.06442264201792,18943,MN,93.84463043659872,0.21555491261176674,24.91874902907177,5.791166188395724,144.9740302596357,58.78685016716109,0.9906318617291541,0.2135355643854596,59.34278155009902,0,1,2,2,3,4,5,5,6,7
682432,48.65,-97.06,-6,240,-6,695415,MROW,Upper Midwest,-97.04460089347765,48.64130838350872,2640,MN,169.09186686776272,0.21198873962539397,26.30938880256752,159.57214424481208,118.20501244219446,60.52464487390779,0.9827396847970593,0.20832974715998553,61.5876674262996,0,1,2,2,3,4,5,6,6,7
682441,48.89,-97.06,-6,240,-6,695424,MROW,Upper Midwest,-97.07547653669451,48.880710400515575,10562,MN,181.17709076351719,0.21067431557448105,25.276429306360694,159.57214424481208,112.03599377434416,60.34255005276785,0.9831230107982678,0.2071187674254482,61.37843320722543,0,1,2,2,3,4,5,6,6,7
683619,48.41,-97.02,-6,243,-6,696602,MROW,Upper Midwest,-97.01400962272729,48.40189643322186,10573,MN,181.1022086203872,0.21225631070239143,27.807023763390063,159.57214424481208,127.14915600722887,61.25380223156237,0.9821839201006598,0.20847473531177843,62.364900277826514,0,1,2,2,3,4,5,6,6,7
684055,47.77,-97.02,-6,264,-6,697038,MROW,Upper Midwest,-97.00246959656893,47.76143354762407,4748,MN,27.578456220629555,0.21506757608574611,19.610526012635287,5.791166188395724,113.27237399745009,56.10251921068839,0.9926017162199506,0.2134764451259764,56.52067520529718,0,1,1,2,3,3,4,5,5,6
684430,47.97,-96.98,-6,249,-6,697413,MROW,Upper Midwest,-96.99314108817885,47.96198043297946,18944,MN,145.6230107860346,0.21529927310015928,23.210248257426038,5.791166188395724,134.77055839745458,57.95077631328728,0.9912658776525873,0.21341882290759348,58.4613852042605,0,1,2,2,3,4,4,5,6,7
684484,48.77,-96.98,-6,256,-6,697467,MROW,Upper Midwest,-96.96966892683123,48.778245521863575,10564,MN,181.11702192169184,0.21344157799244826,24.71360099674205,159.57214424481208,108.67468255005892,59.25919281668331,0.9833318735136845,0.20988390677303134,60.26367538045499,0,1,2,2,3,4,5,5,6,7
685027,48.17,-96.98,-6,255,-6,698010,MROW,Upper Midwest,-96.983715036749,48.162484567750596,2644,MN,181.04506192877705,0.21489627091735305,26.60541906434994,89.7865078636213,99.27629562626345,59.86300523996082,0.9882521528396806,0.2123717023712934,60.57462669618095,0,1,2,2,3,4,5,5,6,7
686221,48.53,-96.94,-6,258,-6,699204,MROW,Upper Midwest,-96.93935009920864,48.53881422384122,10582,MN,181.11234553387462,0.2124604535901099,25.843631699347377,159.57214424481208,115.42342780601079,60.14001357944954,0.9829125248828201,0.20883004087600415,61.18551962354864,0,1,2,2,3,4,5,6,6,7
