Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
160309,41.81,-120.1,-8,1334,-8,170735,NWPP,Northwest,-120.0806367739218,41.80131069232881,41730,NV,2.602600902731539,0.27104455812732386,35.22084227309552,41.092443882683966,192.98644272023682,51.090612140434864,0.9854549761639604,0.2671022085687331,51.84469445708536,0,1,1,2,3,3,4,4,5,6
160469,39.65,-120.06,-8,1847,-8,144480,CAMX,California,-120.06288524366622,39.63452063566806,40300,NV,1.2769303877163145,0.31090563840784247,4.023076147316383,0.0,24.026529545557928,33.08541980001431,0.9985070569584079,0.3104414739983897,33.13488830093712,0,0,0,0,0,0,0,0,0,0
160683,40.25,-120.06,-8,1222,-8,151756,CAMX,California,-120.07747954884128,40.23599615579587,10277,NV,1.3989194684323192,0.29849234395536495,6.386076161583919,41.092443882683966,20.78006766078833,35.365035783194635,0.9961554108178836,0.2973447635188496,35.50152456046845,0,0,0,0,0,0,0,0,1,1
160864,41.21,-120.06,-8,1491,-8,163462,NWPP,Northwest,-120.06688280860236,41.19807884656253,40998,NV,10.214412592211156,0.29419686931229133,24.04897048284089,41.092443882683966,126.26602833613673,42.73500459576659,0.9896008008115861,0.29113745746770503,43.184084492169966,0,0,1,1,1,2,2,2,3,3
160869,40.61,-120.06,-8,1714,-8,156166,CAMX,California,-120.05216926177549,40.596534999130114,41005,NV,22.918512673095627,0.3002559468974024,12.931713018167837,41.092443882683966,59.87178046222599,37.64591962635878,0.9937263583615078,0.298372248686742,37.883587679439984,0,0,0,0,1,1,1,1,1,2
160955,41.57,-120.06,-8,1386,-8,167817,NWPP,Northwest,-120.04045058332257,41.55960463022887,41742,NV,1.4870060150800446,0.2845554383621602,30.73513753476342,41.092443882683966,166.19701257234416,46.86526364727134,0.9871195983163888,0.2808902500147995,47.47678369186852,0,1,1,2,2,3,3,3,4,5
161148,41.33,-120.02,-8,1394,-8,164915,NWPP,Northwest,-120.00056551314462,41.31788021561408,41736,NV,2.871972152891682,0.28298685855141276,26.25452158312756,41.092443882683966,139.43797356780323,45.31758070861006,0.9887823320460258,0.27981240593684475,45.83170556338442,0,0,1,1,2,2,3,3,4,4
161292,40.97,-120.02,-8,1849,-8,160558,CAMX,California,-120.02663049853822,40.95704053557221,10262,NV,56.28038109662735,0.2987306148255824,19.563765380846935,41.092443882683966,99.47958210572432,40.37247690305559,0.9912652375515175,0.2961212738689918,40.72822830222308,0,0,0,1,1,1,2,2,2,3
161432,40.01,-120.02,-8,1771,-8,148821,CAMX,California,-120.03775836819959,39.99499097044807,41053,NV,7.451166516311434,0.3038190112656713,4.2785665112054865,41.092443882683966,8.193643484814682,33.95313903693983,0.9969374969013696,0.30288856460224733,34.057440052632444,0,0,0,0,0,0,0,0,0,0
161633,40.37,-120.02,-8,1703,-8,153227,CAMX,California,-120.0123523089114,40.35548037656769,41077,NV,68.06318924967421,0.30780859873724736,8.433346744600017,41.092443882683966,33.006733363698174,35.053923629211376,0.9953956791450916,0.3063913491867613,35.216069713420794,0,0,0,0,0,0,0,0,1,1
161656,41.93,-120.02,-8,1605,-8,172202,NWPP,Northwest,-120.01371646894177,41.921117926224774,41728,NV,75.0653880644633,0.27938856862018685,37.40989996723736,41.092443882683966,206.0598863835674,50.45920415613652,0.9846426280173083,0.2750978944441749,51.24621128555236,0,1,1,2,3,3,4,4,5,6
162108,41.69,-119.98,-8,1770,-8,169277,NWPP,Northwest,-119.97370655200466,41.6793931426036,10441,NV,127.17679044830747,0.28031673584608835,32.94048685966893,41.092443882683966,179.36775276538367,48.47201793405355,0.9863012044286436,0.27647673418650287,49.14524864859413,0,1,1,2,2,3,3,4,5,5
162176,40.13,-119.98,-8,1215,-8,150289,NWPP,Northwest,-119.97280514186888,40.11443257949549,41049,NV,64.93022437364782,0.2893597231116209,3.9357024100420768,41.092443882683966,6.145997813924528,35.51451212174762,0.9970647320207906,0.28851037478189845,35.61906361863683,0,0,0,0,0,0,0,0,1,1
162177,41.09,-119.98,-8,1844,-8,162012,NWPP,Northwest,-119.96072558103235,41.0764817032705,41000,NV,148.25555766692466,0.299589058769707,21.78267236359166,41.092443882683966,112.73129105369526,41.102284515076235,0.9904418124860888,0.29672553036886995,41.49893915716884,0,0,1,1,1,1,2,2,3,3
162250,39.77,-119.98,-8,2037,-8,145919,CAMX,California,-119.998316502662,39.75397478521565,2529,NV,59.901712685019426,0.3058653173652651,4.6574229194941,0.0,27.814961806285574,33.86738211849344,0.9982716541062618,0.3053366762999599,33.92601801241609,0,0,0,0,0,0,0,0,0,0
162310,39.17,-119.98,-8,1900,-8,138773,NWPP,Northwest,-119.98815618285828,39.152538067574376,40416,NV,1.7079167694360102,0.31884781244928895,6.524322540206659,0.0,38.96441989585269,33.15680259447798,0.9975788571777342,0.3180758363567822,33.23727478375233,0,0,0,0,0,0,0,0,0,0
162330,40.73,-119.98,-8,1762,-8,157636,NWPP,Northwest,-119.98666510203734,40.715986437654266,41007,NV,111.58404809882549,0.29708284772028526,15.088603962187245,41.092443882683966,72.753118546666,38.876804097790775,0.9929259471317838,0.29498126794927176,39.15378000755472,0,0,0,1,1,1,1,1,2,2
