psm3id,km2
1055892,173.07902452002818
1059693,187.8651910619606
1057686,189.14763397694526
1053897,160.98167351892533
1052296,41.99863071030889
1057728,187.34847005412453
1053401,86.00881290909457
1051322,8.353953264942394
1053057,90.812555382305
1055333,174.43321478053522
1076975,190.65926782032355
1074625,161.4746251893827
1079084,190.95953007127852
1081202,192.00378974490908
1079502,192.00748947376363
1075639,169.56443791626393
1073705,178.60763614812896
1073651,190.97357518963346
1071955,190.87345605753637
1077795,192.013139765591
1067010,52.99638951128961
1063539,50.19187432119757
1064770,128.0952835881317
1068643,3.7238689797037408
1070402,100.11655998481636
1069332,170.03593586461903
1056684,143.75747445228748
1053921,174.2607859997176
1068504,191.5993238628027
1073044,191.28855905758965
1071008,191.33777647591126
1066621,191.33846950421955
1064110,190.7362667914188
1066290,156.3287008677134
1069649,191.28447585171236
1076561,192.01814649001955
1087052,189.0874061395524
1085160,187.85918991167517
1082591,173.2355876648013
1083317,180.95381743748052
1088878,193.03172805128565
1090699,193.0370072627415
1089627,193.04607298009938
1081426,193.05104131443701
1079666,193.0560776871695
1104251,192.70321223603443
1105783,193.02672180130887
1102216,193.00857681775938
1105280,188.07253165331542
1108087,193.02171424085685
1109086,188.1836981130719
1112204,193.02396542829504
1113371,193.01891393363874
1109372,193.0160455489
1105624,193.02104579151288
1114519,193.04401182137866
1116051,193.02414423851243
1215159,34.02237458048387
1208481,9.838380809294303
1207569,0.8687239057654285
1159952,158.50937969196266
1158236,103.98555363339712
1154621,140.9054049996748
1156257,0.7527049035580026
1162571,0.5285913911852235
1165144,157.6794322996735
1163573,180.5668933507862
1060869,191.08162553047558
1063316,187.24922199259038
1065462,191.07776081453676
1063017,189.98119863426598
1058799,191.34149530916847
1134680,193.19433561139476
1127746,193.1136935333747
1129951,193.20270086265631
1122371,193.0484919777448
1126950,191.52001470961565
1131611,191.43383701235086
1124616,193.11790393570936
1118004,193.06432420508781
1118816,193.04322409530073
1120549,193.0541823688865
1121288,193.1029610602446
1126588,193.19720498156167
1131841,190.61365639486306
1129336,155.4146888091286
1123206,177.68198873758664
1056938,173.60175809488825
1052125,55.52193315966785
1072574,122.60670094726237
1068154,150.94565923102266
1062856,174.22778016950087
1061965,178.95366727948237
1051864,48.62959005369729
1059862,173.43822269452363
1061615,102.18686531892195
1058213,64.2001866198271
1057801,87.77700349271934
1062124,188.06717071272254
1123445,190.4403270431842
1119215,193.0592238890342
1122439,189.23483654110137
1128076,184.30804978667828
1128327,168.99230611803472
1135341,183.9746326502677
1132928,193.05408385847062
1079717,188.35188543650125
1075995,188.59935959361974
1078668,151.09459968793934
1073479,87.6462465011995
1112945,173.26309975309826
1092916,189.088619020501
1095680,178.9032919705613
1096538,175.0681260840851
1094377,187.10108000965954
1089743,141.42719090758845
1086007,191.9861980545604
1187376,25.870843383212378
1186783,144.6735759671147
1192519,70.14686055016944
1182715,71.00277965329747
1179826,189.84406867955482
1176542,143.49854839981657
1197646,12.510518722662184
1188647,42.035578137651434
1196638,41.361430613242405
1200078,1.8746702373684172
1194001,88.82978740520592
1201259,0.1315723016653811
1198907,10.948617055292175
1203226,11.825566660547473
1203410,25.267745549127582
1211415,140.46782799842455
1206617,103.64870664612494
1201422,98.76625333515119
1211249,108.7736733569781
1204395,184.16012422323774
1176168,190.79190954035855
1181710,150.4627057892911
1180057,166.58054613507323
1185508,193.01421534673446
1178314,124.3270864172139
1184098,109.01794137115726
1187519,181.33967707857212
1183413,92.58657328315287
1167958,0.3149466713841214
1168457,162.1887686037935
1170866,133.2863501739538
1165773,93.13477261369908
1160517,126.49836972854683
1165312,100.11515191732722
1170234,68.96309918732926
1173136,151.63895071166968
1156249,45.82032962875827
1159483,135.5270058915501
1174638,182.01982865097014
1162680,187.5266889941681
1168880,163.83668013135707
1153198,154.9352447384608
1150170,145.15623965011358
1146771,185.90263366179101
1145873,192.48538731295068
1149283,179.83843122562226
1154113,193.15700783870497
1155411,187.39844210371845
1154228,192.4015439848598
1149588,165.96218422233542
1159049,188.63531933350316
1162714,169.9025789703643
1159305,193.09003866156758
1137516,193.13209800260313
1131641,193.06437178206073
1136538,193.0593104577954
1134079,186.31264248036717
1137575,182.37254472855312
1135030,193.1954434675834
1138578,193.19420292525695
1136509,193.19988115575416
1163806,183.90710110449913
1161441,186.50425650582778
1142003,193.1352115247358
1144613,193.2133308605491
1151490,192.08549402108656
1145033,179.14447578294335
1054541,190.92968330877798
1056921,190.924164879509
1058562,190.80004434598314
1060073,182.0037470764481
1058327,102.00805610892226
1053947,93.33423079680765
1053508,110.6740034579721
1057562,163.72309917984452
1059938,191.60173410127297
1139188,187.34096027812828
1136462,188.84918503248585
1129963,173.39374123224314
1117525,193.09803414827334
1114990,193.0921917925429
1062705,108.13170108329197
1064592,181.84420660115325
1062980,188.6933971073365
1057215,181.8837661093564
1061550,190.9640668682359
1053533,8.657420494151904
1053451,135.34731800290268
1051242,15.456278422312533
1055188,190.13521817241542
1053335,102.40630850965282
1055743,162.72496092979137
1060017,68.75239958468714
1057066,189.1158330362374
1054101,154.92319515456825
1059429,100.01997404892505
1056145,181.41800193834268
1069166,191.0777827180155
1106592,167.54921044778175
1107682,192.79326478695953
1111095,192.0567689642492
1102607,163.8002986826382
1099398,190.34275612488807
1099282,189.8251085767955
1098070,191.13993250869464
1093850,184.90099592061915
1060050,156.46888472478227
1054606,191.11932072012408
1058982,191.1009233123081
1065812,191.09249981762352
1064426,190.55673640706016
1081473,177.9316389406981
1114732,179.48336535788619
1114335,193.07930906835395
1108937,192.01623959895414
