psm3id,km2
1009837,170.8799520771619
1011341,169.12380451448317
1013520,168.80314702805484
1014752,179.97227564741266
1011992,168.5493677501305
1010205,166.60978085173954
1008562,176.2390635113165
1016288,178.57161295241852
1015319,169.6152477111844
1016907,166.64492403667575
1010706,162.05990318784228
1013849,173.41574980598153
1019838,138.75480364223483
1020218,159.4529522506648
1018905,183.11979744326902
1012582,155.15461599320926
1007577,175.6149310988322
1009504,152.5244542043315
1019586,182.7574908687414
1022623,182.764761110534
1019374,182.76513990795488
1017181,182.757094975207
1022727,183.9135112359604
1021091,180.17363478909124
1018029,164.09669977631637
1037910,0.5024859642146519
1038943,0.40839984706887195
1036363,163.97906277529822
1037203,133.85822984862887
1024779,180.70739744392174
1024283,164.9077609702601
1020555,177.19707907245058
1021923,142.7432597468382
1025713,139.96235486190776
1027617,151.30582106300912
1028467,167.21542607261767
1026525,174.16017876513024
1034442,106.29374062174418
1033552,54.5704444989618
1030985,164.11061282037988
1032358,168.52121117072667
1032932,170.48446693139218
1024974,182.8125283158741
1023476,164.03320793670315
1026732,179.37082981884308
1027263,175.843271635404
1023699,182.82105553032525
1028290,178.8525999244787
1022262,159.21894834218853
1019463,182.09623902749584
1021241,178.47276144821103
1025036,173.26615923114332
1019642,182.7961640976592
1017854,182.7772476850923
1011423,1.6575629118461035
1009113,11.029781786561646
1010537,105.58829371197777
1013133,15.875061212402034
1014862,29.43620673067296
1016848,98.60674775859441
1022116,174.41346742076985
1029342,182.4619320336129
1031738,93.45010457749449
1027394,157.92638954904288
1028564,143.12549362381841
1018994,179.70930964561967
1022255,181.40362935449235
1021396,164.70182112495849
1020858,172.90169175233103
1017397,173.2946940077442
1016361,182.8251403648006
1018544,177.71104502131618
1018956,168.68957059516185
977448,182.7793289403033
976190,180.28739144732268
979606,180.9035228281466
974202,182.62689132841717
972595,182.6915698000345
974693,154.17498900963082
977772,181.09208909023997
998090,182.9005170186863
999571,180.12143710056887
1000926,134.06133793634598
997182,182.91087783821527
1000896,182.90864212411498
1002118,161.56774653650683
996079,182.91486922225877
963188,176.07169307800424
960197,182.77961706146533
961204,182.8480342747997
957279,182.70917333599093
956474,135.4285911477559
962006,179.21036889544163
958036,182.7109898645967
1006947,180.6810559669735
1005138,182.79298333937564
1003162,162.2179883837663
1000169,181.66005361421543
1001567,171.21145327550943
1002713,182.78955365598372
1004915,173.24574353318604
1007092,182.3452128033016
1009168,182.86688048129528
1007018,182.86722991444117
1005674,162.89593168409812
1010923,182.14177623301825
1003894,182.86652232620625
1007946,182.86840082212225
1011891,173.45356480401423
1012750,162.2129259991615
1014085,182.806540185959
1015185,141.40822636095356
1015308,182.67738645526347
1014734,182.6852307603849
1013556,182.76874206431873
1014535,182.77331836913152
1011374,182.77290840333143
1016472,182.77308125319107
1009944,182.81991344205093
1030588,135.98363982718996
1025012,165.43975637755779
1025761,173.35314335892406
1026840,46.97937268128689
1028610,153.01941162229713
1008973,140.3178498238648
1007687,150.3166106333057
1012197,43.933356619011064
1015811,1.4005920965787775
1016800,45.46435485217353
1021070,17.51399437570331
1025552,1.1938951500242359
1029122,12.835096559897508
1030362,26.085482850818625
1028296,84.9096651274928
1032772,0.5283451530841594
999380,182.7898832974743
997146,180.72951039032668
998281,182.72574812778564
999811,159.06010276557367
1002562,174.01526179806302
1016470,173.01851727425662
1018871,125.10897793276152
1015549,180.05452286008384
1013916,181.54336387806117
1015025,182.81063064795305
1020212,178.54780576740322
1016376,182.79270509678133
1003002,182.8905621800274
1000038,159.78074663229657
1004542,182.9011198068732
1005700,182.89459997849266
1004458,182.89041339908925
1006734,182.87293771263904
1009418,181.19197283868778
1005177,182.8682514773125
1002061,182.88531750146535
981838,164.9024478689649
980709,182.6006999139457
978496,162.76609480957495
982987,181.50111640925243
984034,178.20372821033382
981166,182.87878896138233
984427,179.66951897245076
986078,182.88649515325403
954109,0.5048874715698822
964513,182.70255846936996
965951,176.43116489060705
962131,182.70617942804057
965766,182.7184961290327
960486,178.97828246538714
967819,181.30743777013168
970742,179.9768729143144
968961,182.73516656553045
972316,182.79130876501108
968958,182.20123843278932
967239,179.05498911543663
964342,182.7255885432788
966457,182.73493500318685
957822,182.71822113657382
959217,182.72151828602162
955538,124.50708766590978
953369,32.01780364422493
954824,94.71110384858407
970016,182.6730690476837
968275,176.30819921196652
1008229,166.94476831583077
1004744,179.12868696870743
1005911,184.09138488660884
1006544,179.92203946809195
1003760,172.48715727779958
1001886,157.49822409608078
1003667,169.77918856984007
1004545,161.10034180003893
1000589,145.4006292681742
1021998,148.64444135734868
1020346,161.7695121276459
1017302,159.60788150737588
1022873,167.98193030998146
1021614,144.37330367455888
1018451,124.20675623738187
1017471,182.77353477614244
1038840,58.52083624386599
1029441,121.0526396361951
1004088,157.00211163453483
999682,180.19986610678313
1001020,133.72370687301162
1018381,165.2527127714725
1019310,123.05494484734754
1019511,69.36681279513276
1017402,25.625396299897464
1018307,163.70682564447245
1021478,70.40206777316642
1019700,131.00392319163444
1024675,168.5052420163506
1022998,123.73241584290486
1018261,177.46953833219555
1020953,164.24571984321832
1022208,132.08825716546977
1024307,149.70880623088348
1018975,139.603548687286
1036368,0.5197822584109414
1033846,16.742904068105187
1033846,29.279489667363787
1033409,16.04528558173548
1031970,68.2603751475816
1025687,78.87732415494351
1026031,134.25004485553538
1024320,136.44012820828362
1023432,142.92858419480325
1020276,169.20008164184867
1025820,147.65396565900153
1025794,187.4586271188583
1031828,0.18012807589201224
1029615,87.27969324525758
1031828,28.360264756059006
1025602,174.50050925848078
