State,GW
AL,5.2703999999999995
AR,1.845
AZ,4.2096
CA,2.323
CT,2.1629
FL,3.7971999999999997
GA,4.0418
IA,0.6795
IL,12.415099999999999
KS,1.2677
LA,2.2357
MA,0.67
MD,1.8287
MI,4.314100000000001
MN,1.8711999999999998
MO,1.2358
MS,1.44
NC,5.394699999999999
NE,0.801
NH,1.242
NJ,3.6307
NY,5.7094
OH,2.2368
PA,10.513
SC,6.875100000000001
TN,4.9808
TX,5.1386
VA,3.6543999999999994
WA,1.2
WI,1.286
