rowf_colf,km2
996_2148,17.06812236147767
996_2150,17.06493116698313
998_2148,17.07000524270976
996_2146,17.0638687570793
994_2148,17.067901203221364
998_2146,17.064806936502745
994_2150,17.062763882132348
998_2144,17.070862628371664
996_2144,17.06536360918305
994_2146,17.06578848609031
992_2150,17.061146266840215
992_2148,17.066136552237108
1000_2144,17.06855759760013
1000_2146,17.06974076367147
998_2150,17.066077679307423
1000_2148,17.0651521329106
1040_2112,17.113825832500243
1042_2110,17.114072505489872
1040_2110,17.115693594292757
1038_2112,17.113061024759467
1038_2114,17.107604586180862
1040_2114,17.106000257276182
1042_2112,17.111684835462718
1044_2110,16.316979427253504
1044_2108,17.115451350024216
1042_2108,17.1133888281631
1044_2104,11.116323395620249
1042_2104,7.6329229973480075
1042_2106,17.110175051478166
1044_2106,17.113812573668554
1046_2104,14.60194033134306
1058_2332,4.1532059571011075
1060_2332,10.31440200353524
1060_2330,16.656917160256256
1062_2330,17.01389436725267
1062_2332,8.59548430548854
1056_2332,0.7078063832607784
992_2146,16.704844883239605
994_2144,17.06115436313197
998_2142,17.06747843003169
996_2142,16.073775762224702
992_2144,15.047781372913292
990_2146,12.843910948729135
990_2148,16.72597715498642
1000_2142,17.073508875695534
994_2142,14.248772691042445
1022_2142,17.093114208528092
1024_2140,16.190651668677134
1022_2140,17.093170691291462
1024_2142,12.966595699687277
1020_2142,17.08956201562722
1022_2144,17.08569244597635
1020_2144,17.085703813951948
1026_2140,8.846704595698622
1026_2138,16.8936524097645
1024_2138,16.71167711481987
1014_2144,17.08372963375854
1016_2142,17.081898546962016
1014_2142,17.086595195495935
1016_2140,17.08951515077797
1018_2140,17.085125038730776
1016_2144,16.700180244721274
1018_2142,17.084746127199075
1016_2162,17.08502079201847
1014_2164,17.081230843864244
1016_2164,17.085661450566413
1014_2162,17.07743269611225
1018_2162,17.08201438709161
1016_2160,17.086867925917886
1018_2160,17.08496345966974
1018_2152,17.085031996043373
1020_2152,16.96340549787076
1020_2150,17.08778135984522
1022_2150,17.087805848917583
1022_2152,17.09112096655885
1020_2154,13.942063121007632
1018_2154,15.651739253722676
1018_2150,17.084785950065665
1016_2152,17.08626128374825
1016_2154,17.085796976365778
1018_2156,8.8010993978511
1016_2156,14.97214284019395
996_2152,15.49997081091935
1000_2150,17.07198766970102
998_2152,17.067451531893443
1020_2148,17.090133971572282
1018_2148,17.086727427949643
1016_2150,17.078777965784955
1014_2154,17.08402941607332
1014_2152,17.08150501522316
1014_2150,17.084461952969416
1016_2148,17.08527749837965
980_2136,1.0981203377807964
980_2138,4.65124917396632
982_2136,5.3892431311623605
980_2134,3.493722453921937
982_2134,1.9902684292090527
962_2120,10.56229951936446
960_2120,7.131943416838238
960_2122,17.033464340412102
958_2122,17.03277066023824
958_2120,3.7369637918678134
956_2122,17.01036344655204
956_2124,17.0300300173476
958_2124,17.027682615564977
1028_2124,17.094292457256394
1026_2124,17.097965072972237
1026_2126,17.096091640854837
1024_2124,17.097899148962977
1026_2122,17.098886348209465
1024_2126,17.095705489825896
1028_2122,17.099742107154807
1030_2124,17.095103107391978
1030_2122,17.100906077924133
1032_2124,15.185142775362252
1030_2126,17.102184992315756
1032_2122,15.921278073831967
1028_2126,17.10012476239959
1030_2120,16.72687433899875
1028_2120,17.099696531730824
1018_2126,17.092775255530643
1018_2124,17.090488110624968
1016_2126,17.09023245384787
1020_2122,17.092907269827364
1018_2122,17.091525739080197
1020_2124,17.08647776576519
1016_2124,16.86050405809099
1014_2134,17.088681378887447
1012_2134,17.084288741346413
1012_2136,17.0820079370423
1014_2132,17.083483894775334
1010_2136,17.081839613278703
1010_2134,17.080384920773138
1012_2132,17.085486348243286
1012_2130,17.08233148215668
1014_2130,17.08609729588851
1014_2128,17.0846838733781
1016_2130,17.086516275477024
1016_2128,17.08954660259049
1006_2130,15.105845687142068
1008_2130,13.497089081144994
1008_2128,13.6907842453328
1006_2132,17.067971511091418
1010_2128,5.979437347352687
1010_2130,15.634713901453539
1008_2132,15.122552684772195
1026_2136,16.998377963136328
1024_2136,6.270369164663119
1022_2138,17.0888456568378
1020_2140,17.08940196505462
1020_2138,17.08758772565997
1018_2144,16.81224611865939
1028_2128,17.102240813141652
1030_2128,17.10301972086394
1028_2130,17.09813120444273
1026_2130,17.09504308974874
1026_2128,17.092725321672134
1018_2128,17.09036183423317
1020_2126,16.566769589619607
1020_2176,17.0798573971061
1020_2178,17.03717416264573
1022_2176,17.08615110121576
1022_2174,17.08255186271169
1020_2174,17.087808166065063
1018_2178,17.082075385832944
1018_2176,17.07897797878265
1016_2158,17.08163064658143
1018_2158,14.673964110986931
