rowf_colf,km2
1398_2496,17.206444523552474
1400_2494,17.205764160442374
1398_2494,17.20269999686021
1400_2492,17.165656677847586
1402_2492,17.202586616408208
1402_2494,17.205098430260584
1400_2496,17.20801822216589
1204_2462,0.27476907847664284
1204_2460,0.07140913102359245
1328_2480,17.20517812923682
1330_2480,17.201405154590155
1330_2478,17.2010228657439
1328_2482,17.200269128151657
1328_2478,17.200913874993695
1326_2482,17.20280235451738
1326_2480,17.20237523459534
1214_2464,17.16091781796084
1212_2466,9.91701464013891
1214_2466,3.6202335647062043
1212_2464,17.16521556020622
1216_2464,16.6754785916608
1214_2462,17.165555366902495
1216_2462,17.166489554218703
1206_2460,13.425593687175974
1206_2458,6.7826012100512445
1208_2458,5.5950149479731035
1208_2460,17.160088864752
1206_2462,12.426061237223209
1408_2494,16.488562522193888
1410_2494,11.618129361115798
1410_2492,12.524827234205276
1408_2496,17.204080012923562
1406_2496,17.203816524059064
1406_2494,17.204414732910635
1408_2492,17.163210425747568
1402_2490,15.173240079822943
1400_2490,17.204698150065582
1398_2492,17.204712890411702
1404_2490,16.955420739791006
1404_2492,15.943714318820993
1402_2496,17.112514281577475
1404_2494,16.32677465048056
1414_2488,17.20584898248761
1414_2490,16.452875851559604
1416_2488,16.508386396487197
1412_2490,17.204085977973012
1416_2486,17.208043242102438
1414_2486,17.20434945039501
1412_2488,17.205829573060637
1280_2462,17.19145187482296
1278_2464,17.187652306090413
1280_2464,17.19198433596887
1278_2462,17.192450140580693
1282_2462,17.194094261186272
1282_2460,14.779481830376934
1280_2460,16.55608087005861
1270_2462,17.18936008952342
1268_2462,17.189678584653084
1268_2464,17.19110937685264
1270_2460,17.18961757871504
1266_2464,12.815843736715292
1266_2462,16.767275374619356
1268_2460,17.187132368704635
1216_2466,0.11957182414636812
1218_2466,0.10900183947142175
1218_2464,14.36906151530494
1220_2464,17.10872046038544
1220_2466,8.136613629756543
1222_2466,7.6449569324340425
1220_2468,0.8787033267522287
1222_2464,9.535825375175175
1220_2462,17.167198794404687
1218_2462,17.16640248554356
1206_2464,15.730628780233165
1208_2464,9.673241293648962
1208_2462,14.436161498050444
1210_2462,17.1645531376612
1210_2464,15.737454814808189
1208_2466,1.4046906222486133
1206_2466,3.9837899524999014
1204_2464,4.952987394274613
1204_2466,1.681792252519249
1210_2466,3.5930122091952734
1212_2462,17.16274749104973
1210_2460,17.160776260967165
1438_2460,4.248989509728662
1438_2462,14.902263066537829
1440_2462,3.4026545708080462
1434_2460,17.200923787735714
1434_2462,17.199475992821913
1436_2460,14.317814401293939
1432_2462,17.201023725085197
1436_2462,17.19965181727298
1432_2464,17.199798509677787
1434_2464,17.200592211762995
1414_2454,17.02106926948856
1414_2456,17.202231421430838
1416_2454,15.89251371983392
1414_2452,17.203594201104956
1412_2454,17.202502166011325
1416_2452,16.96635417553304
1412_2456,17.2039241639561
1426_2476,15.977124372070147
1428_2476,17.161140102636725
1428_2474,17.198304758495787
1426_2478,13.883669930874602
1424_2478,15.054417764012738
1424_2476,16.803306025826597
1426_2474,16.78822776472697
1430_2474,17.135021845824497
1430_2472,17.041331169851283
1428_2472,16.446928423990215
1420_2456,17.202580631430028
1420_2454,17.19821814060157
1418_2456,17.200073500760894
1422_2454,17.20091268880406
1418_2458,17.206825098993384
1420_2458,17.202337825355887
1422_2456,17.20215463433431
1422_2458,17.19998683131313
1422_2460,17.202753537262385
1424_2458,17.200092625088786
1420_2460,17.196884464780194
1424_2456,16.254306387612584
1424_2460,17.203456275111126
1426_2456,16.998481722884037
1426_2458,17.204409601309916
1416_2456,16.83739547884199
1418_2454,17.201448207036215
1414_2458,16.7654567944269
1416_2458,17.204798367870705
1420_2434,3.0100106604778674
1418_2434,7.320554949833674
1426_2454,17.200597234436906
1424_2454,17.205625099549486
1308_2462,17.173945442780678
1308_2460,12.31175956816883
1306_2462,17.198935241740024
1308_2464,17.199376393662977
1310_2462,17.198326135780743
1310_2460,15.839572057091807
1306_2464,17.19149183056731
1312_2448,12.740035758505876
1312_2446,1.864000746018451
1314_2448,5.435208668390075
1312_2450,16.432530290197672
1310_2450,3.9770001634183796
1316_2446,6.015075211406045
1314_2444,5.577940192888351
1316_2444,13.910723818736635
1312_2444,0.8962902245819242
1318_2440,4.154316624998269
1318_2438,13.312069812644953
1316_2440,9.685234663480022
1318_2442,10.892608236475313
1320_2440,16.853840610847495
1320_2438,17.20123569564651
1316_2442,14.654410436289941
1316_2438,14.8612006890265
1318_2436,17.205103842021916
1320_2436,17.19905672157902
1320_2442,17.04260664610629
1322_2440,16.438757260394322
1322_2438,15.139631174436374
1322_2436,16.62584076313197
1322_2446,15.880483016343357
1322_2448,15.929897249539748
1324_2446,17.202569631035097
1322_2444,10.182580104489492
1320_2446,13.276588918013442
1324_2444,16.429986736955243
1320_2448,13.538508028542209
1314_2450,17.20066008994784
1316_2448,3.160473353793687
1330_2462,17.2058427255667
1332_2460,17.204372742237904
1330_2460,17.2011918768109
1332_2458,17.2018434648887
1332_2462,17.204441386711828
1334_2460,17.203601911448686
1334_2458,17.20169525686485
1320_2472,17.199995978576368
1322_2472,17.198711118418935
1322_2470,17.201491777197187
1320_2474,17.1999406737648
1318_2474,17.197765757351597
1318_2472,17.200084688944884
1320_2470,17.204225959688532
1332_2478,15.293037429695307
1332_2476,15.493490740018446
1330_2476,17.202587773759596
1332_2474,17.202420400772958
1334_2474,17.20072632091458
1334_2476,10.012646562315823
1322_2474,17.2027894146764
1322_2476,17.205379771630582
1324_2474,17.201726917702914
1324_2472,17.198758817612504
1320_2476,17.201335166216413
1324_2470,17.201160291729742
1318_2476,17.197941092917418
1326_2472,16.768762035890383
1326_2470,16.30180819411061
1416_2434,11.632139009271905
1412_2492,12.746460548748043
1412_2494,16.287001919137033
1414_2492,16.491858972031093
1446_2468,0.8713175027161364
1444_2468,11.406196328219046
1444_2470,17.202616000526184
1446_2470,5.418232532449665
1406_2492,17.209136526886287
1404_2496,16.514626819080803
1402_2488,17.20424862719267
1404_2488,17.046773015567197
1400_2488,17.204977531142188
1402_2486,17.204308903816578
1404_2486,17.20390203010532
