Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
869972,31.69,-88.54,-6,74,-6,882955,SRSO,Southeast,-88.54493249205777,31.69866006680991,27228,0.5444873788301726,0.2539719976625175,13.331716814960425,65.82014124710433,35.91644889047024,44.686319289409006,0.9936783656568795,0.2523664795599032,44.97060702319783,0,1,2,3,4,4,5,5,6,7
871047,31.37,-88.5,-6,57,-6,884030,SRSO,Southeast,-88.50398322163967,31.381508048112305,27238,16.457824303431572,0.25396201404012375,10.875800498831728,19.05592668749895,52.29955971809886,43.58414811010762,0.9955661646137176,0.2528359882755011,43.77825368042555,0,1,1,2,3,3,4,4,5,5
871539,31.89,-88.5,-6,69,-6,884522,SRSO,Southeast,-88.51683031440571,31.90641579962049,440,25.878538475615468,0.25372364514250534,15.736875065094269,65.82014124710433,50.28048368437558,45.81218756993271,0.9927858236959574,0.251893238033943,46.14508635848811,0,1,2,3,4,5,6,6,7,8
871558,32.13,-88.5,-6,130,-6,884541,SRTV,Southeast,-88.48858585938557,32.114328897110184,27399,29.580507806422123,0.2528245743016192,18.937998687459608,62.733047196333104,71.44791999197601,47.420470602429845,0.9916623605211883,0.25071661414970825,47.81916959872012,0,1,2,3,4,5,6,7,8,9
871624,30.85,-88.5,-6,62,-6,884607,SRSO,Southeast,-88.49127014778921,30.856622659063763,6828,4.017062679397369,0.25753037108689875,4.073721421855063,4.967683504968531,21.030573190896504,39.965092060835424,0.9983845392088766,0.2571143408698844,40.02975856627738,0,0,0,0,1,1,1,1,1,1
871728,31.57,-88.46,-6,59,-6,884711,SRSO,Southeast,-88.47588556789606,31.589262082574248,27231,63.339636688115576,0.2541198072194891,11.124293559004435,65.82014124710433,22.733322810652737,43.6687125784419,0.9944975291698611,0.25272152039290335,43.91032787672541,0,1,1,2,3,3,4,4,5,6
871754,31.05,-88.46,-6,79,-6,884737,SRSO,Southeast,-88.46331347686086,31.06433640179989,27158,39.599072124355715,0.2569396239975652,5.306671936826307,4.967683504968531,28.393973954744336,40.60476388308847,0.9979269975605085,0.25640698753021623,40.6891125125878,0,0,0,1,1,1,1,1,2,2
871807,32.33,-88.46,-6,95,-6,884790,SRTV,Southeast,-88.4602122159752,32.322238255074076,6885,32.167715799159076,0.25289746687291237,15.54214219892008,62.733047196333104,51.167258312530755,45.87394878408127,0.9929225455460708,0.2511075965696053,46.20093378869978,0,1,2,3,4,5,6,6,7,8
871834,30.53,-88.46,-6,11,-6,884817,SRSO,Southeast,-88.45084587378334,30.539511916030875,26894,26.19374283533997,0.2591126499728887,4.188135774894718,1.153432814083777,24.246444271281373,39.77145071548113,0.9984217208864898,0.2587036978893902,39.83432039135568,0,0,0,0,1,1,1,1,1,1
872489,31.81,-88.46,-6,71,-6,885472,SRSO,Southeast,-88.44766175965229,31.797004080955052,27178,122.9783662914892,0.2557594359554087,14.135672511247305,65.82014124710433,40.71781594961511,44.732854136131664,0.9933800217979595,0.2540663140644177,45.03095809715181,0,1,2,3,4,4,5,5,6,7
872721,31.49,-88.42,-6,77,-6,885704,SRSO,Southeast,-88.4070016650772,31.47982780525619,27232,155.4602941547769,0.2558464498059196,10.238457725371,65.82014124710433,17.44295294193797,42.97875549275614,0.9948262583301825,0.25452276636748383,43.2022728922496,0,1,1,2,3,3,4,4,4,5
872839,30.73,-88.42,-6,40,-6,885822,SRSO,Southeast,-88.42289293502756,30.74721445253108,27160,72.82208025737846,0.25963966822643486,2.240752103408977,1.153432814083777,12.616321050596108,38.83452010604771,0.9991443850358109,0.25941751664100327,38.86777595678109,0,0,0,0,0,0,0,0,0,0
872909,32.01,-88.42,-6,82,-6,885892,SRSO,Southeast,-88.41930223017107,32.004819581686725,27368,149.10998566773046,0.2533597998831134,17.287032403995912,65.82014124710433,59.53830027535119,46.576425415440404,0.9922105682129037,0.25138627100433153,46.94207752627592,0,1,2,3,4,5,6,7,8,8
872910,31.29,-88.42,-6,71,-6,885893,SRSO,Southeast,-88.43521749609768,31.27208367737442,6845,99.38093003152895,0.25459854937027615,9.001189845386662,19.05592668749895,41.104049963340685,42.63465526876487,0.9962618230671679,0.2536468149458877,42.79462916435616,0,1,1,2,2,3,3,3,4,4
873181,32.73,-88.42,-6,60,-6,886164,SRTV,Southeast,-88.40306983018131,32.73805566367145,1735,40.385596215078,0.25119893292686424,11.969173867342365,62.733047196333104,29.828853062294854,44.560429518220786,0.994248455872679,0.24975415117939942,44.81820339274138,0,1,2,3,3,4,5,5,6,6
873415,32.53,-88.42,-6,95,-6,886398,SRTV,Southeast,-88.43170702948284,32.53015146826438,27415,36.059714676054575,0.25213929862729423,12.639062052676811,62.733047196333104,33.8295449924972,44.69752894979074,0.9939998637833627,0.2506264284899631,44.96733910974895,0,1,2,3,4,4,5,5,6,7
873610,31.17,-88.38,-6,56,-6,886593,SRSO,Southeast,-88.36661528607227,31.16262576684619,27226,170.03579520522956,0.25553919785276114,6.773348303007537,4.967683504968531,37.15322726127978,41.48248747209146,0.9973827214406994,0.25487038058916023,41.5913436039586,0,0,1,1,2,2,2,2,3,3
